report_id,data_riferimento,titolo_tabella,regione,2022,2023,2024,2025,totale,incidenza_pc,individui
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Abruzzo,9600.0,25219.0,24096.0,19401.0,78316.0,24.8,70730.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Basilicata,6368.0,12822.0,18726.0,17653.0,55569.0,31.8,46994.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",P.A. Bolzano,2420.0,5869.0,5602.0,4479.0,18370.0,24.4,16241.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Calabria,28512.0,48868.0,63188.0,56175.0,196743.0,28.6,174974.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Campania,91414.0,165426.0,207683.0,154771.0,619294.0,25.0,542557.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Emilia-Romagna,44368.0,84016.0,89393.0,88411.0,306188.0,28.9,276849.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Friuli-Venezia Giulia,21588.0,39286.0,37698.0,31351.0,129923.0,24.1,110024.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Lazio,61594.0,78897.0,75283.0,82869.0,298643.0,27.7,280444.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Liguria,11875.0,21278.0,24073.0,17835.0,75061.0,23.8,68763.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Lombardia,77091.0,136981.0,164374.0,226280.0,604726.0,37.4,535803.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Marche,18619.0,36317.0,39348.0,33163.0,127447.0,26.0,109505.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Molise,1688.0,2644.0,4566.0,7357.0,16255.0,45.3,14608.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Piemonte,46360.0,73518.0,80696.0,98714.0,299288.0,33.0,266958.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Puglia,70951.0,102584.0,118517.0,128730.0,420782.0,30.6,391092.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Sardegna,41878.0,58545.0,52665.0,49333.0,202421.0,24.4,173242.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Sicilia,65269.0,165232.0,193864.0,204210.0,628575.0,32.5,548948.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Toscana,45070.0,84823.0,103900.0,109029.0,342822.0,31.8,284736.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",P.A. Trento,4926.0,8162.0,8404.0,8657.0,30149.0,28.7,27707.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Umbria,11078.0,20318.0,21248.0,21734.0,74378.0,29.2,64150.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Valle d'Aosta,1313.0,1939.0,2060.0,2930.0,8242.0,35.5,7181.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Veneto,40810.0,116572.0,111534.0,104383.0,373299.0,28.0,319714.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Totale,702792.0,1289316.0,1446918.0,1467465.0,4906491.0,29.9,4331220.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Abruzzo,9609.0,25223.0,24107.0,17517.0,76456.0,22.9,69284.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Basilicata,6398.0,12866.0,18741.0,16084.0,54089.0,29.7,46133.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",P.A. Bolzano,2422.0,5871.0,5603.0,4107.0,18003.0,22.8,15980.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Calabria,28565.0,48854.0,63234.0,50840.0,191493.0,26.5,171130.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Campania,91706.0,166106.0,207936.0,134821.0,600569.0,22.4,529316.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Emilia-Romagna,44377.0,84012.0,89383.0,78887.0,296659.0,26.6,269603.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Friuli-Venezia Giulia,21632.0,39287.0,37703.0,28505.0,127127.0,22.4,108261.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Lazio,61636.0,78929.0,75292.0,71088.0,286945.0,24.8,270347.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Liguria,11844.0,21184.0,23944.0,15941.0,72913.0,21.9,66992.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Lombardia,77288.0,137162.0,164530.0,204220.0,583200.0,35.0,519890.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Marche,18534.0,36185.0,39198.0,29195.0,123112.0,23.7,106638.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Molise,1690.0,2647.0,4571.0,6482.0,15390.0,42.1,13896.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Piemonte,46443.0,73547.0,80725.0,88120.0,288835.0,30.5,258697.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Puglia,70880.0,102505.0,118448.0,114994.0,406827.0,28.3,379687.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Sardegna,41976.0,58756.0,52862.0,41645.0,195239.0,21.3,168953.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Sicilia,65405.0,165585.0,194020.0,178649.0,603659.0,29.6,532644.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Toscana,45120.0,84789.0,103476.0,96952.0,330337.0,29.3,277036.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",P.A. Trento,4919.0,8100.0,8232.0,7686.0,28937.0,26.6,26984.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Umbria,11099.0,20343.0,21296.0,19081.0,71819.0,26.6,62308.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Valle d'Aosta,1313.0,1935.0,2058.0,2592.0,7898.0,32.8,6904.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Veneto,40825.0,116595.0,111558.0,94802.0,363780.0,26.1,312907.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Totale,703681.0,1290481.0,1446917.0,1302208.0,4743287.0,27.5,4213590.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Abruzzo,9642.0,25228.0,24148.0,13921.0,72939.0,19.1,66528.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Basilicata,6460.0,12979.0,18749.0,13020.0,51208.0,25.4,44085.0
