report_id,data_riferimento,titolo_tabella,regione,perc1_ass,perc2_ass,perc3_ass,perc4_ass,perc5_ass,perc1_pc,perc2_pc,perc3_pc,perc4_pc,perc5_pc
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Abruzzo,50150.0,13286.0,13849.0,1031.0,0.0,64.0,17.0,17.7,1.3,0.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Basilicata,28875.0,8798.0,17097.0,795.0,4.0,52.0,15.8,30.8,1.4,0.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",P.A. Bolzano,13103.0,3870.0,567.0,830.0,0.0,71.3,21.1,3.1,4.5,0.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Calabria,86096.0,48486.0,56314.0,4584.0,1263.0,43.8,24.6,28.6,2.3,0.6
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Campania,194142.0,129604.0,257493.0,35730.0,2325.0,31.3,20.9,41.6,5.8,0.4
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Emilia-Romagna,191469.0,66826.0,26170.0,21680.0,43.0,62.5,21.8,8.5,7.1,0.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Friuli-Venezia Giulia,86903.0,28168.0,11149.0,3114.0,589.0,66.9,21.7,8.6,2.4,0.5
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Lazio,178801.0,54275.0,61936.0,2274.0,1357.0,59.9,18.2,20.7,0.8,0.5
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Liguria,50352.0,9164.0,11677.0,3848.0,20.0,67.1,12.2,15.6,5.1,0.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Lombardia,337712.0,153520.0,92790.0,20546.0,158.0,55.8,25.4,15.3,3.4,0.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Marche,93630.0,20865.0,10082.0,2782.0,88.0,73.5,16.4,7.9,2.2,0.1
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Molise,5538.0,4553.0,5713.0,140.0,311.0,34.1,28.0,35.1,0.9,1.9
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Piemonte,154156.0,64177.0,47896.0,31782.0,1277.0,51.5,21.4,16.0,10.6,0.4
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Puglia,166056.0,125597.0,121520.0,7609.0,0.0,39.5,29.8,28.9,1.8,0.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Sardegna,113712.0,46771.0,37468.0,3393.0,1077.0,56.2,23.1,18.5,1.7,0.5
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Sicilia,279018.0,140819.0,192625.0,14443.0,1670.0,44.4,22.4,30.6,2.3,0.3
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Toscana,231417.0,69806.0,28295.0,12767.0,537.0,67.5,20.4,8.3,3.7,0.2
