report_id,data_riferimento,titolo_tabella,regione,raggiunti,con_politica,con_politica_pc,lep_e,lep_f1,lep_f2,c07_form_incl_dig,c11_form_no_dig,c12_form_spec_dig,lep_h,lep_j,lep_o,tirocinio_co,con_pol_o_tiroc,con_pol_o_tiroc_pc
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Abruzzo,70730.0,60555.0,85.6,48337.0,34045.0,16.0,1652.0,1346.0,4685.0,7486.0,0.0,111.0,4541.0,61395.0,86.8
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Basilicata,46994.0,18767.0,39.9,9427.0,4809.0,0.0,3663.0,1777.0,7170.0,12239.0,5.0,149.0,2073.0,20671.0,44.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",P.A. Bolzano,16241.0,16060.0,98.9,2065.0,16037.0,76.0,15.0,1205.0,551.0,1511.0,0.0,30.0,376.0,16070.0,98.9
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Calabria,174974.0,121693.0,69.5,117031.0,73154.0,3819.0,9354.0,7645.0,24733.0,39636.0,0.0,3507.0,7441.0,125540.0,71.7
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Campania,542557.0,400521.0,73.8,382163.0,166914.0,8797.0,153642.0,283.0,31943.0,182509.0,1188.0,3007.0,28057.0,409161.0,75.4
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Emilia-Romagna,276849.0,234737.0,84.8,224387.0,185022.0,9718.0,34717.0,8384.0,66335.0,104325.0,255.0,2121.0,17987.0,237507.0,85.8
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Friuli-Venezia Giulia,110024.0,104971.0,95.4,81368.0,94667.0,3359.0,9223.0,14096.0,14714.0,33969.0,104.0,103.0,6017.0,105256.0,95.7
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Lazio,280444.0,164454.0,58.6,155081.0,37683.0,9431.0,13266.0,17265.0,15858.0,45453.0,1.0,641.0,17373.0,169441.0,60.4
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Liguria,68763.0,54326.0,79.0,44678.0,31594.0,2328.0,46.0,11229.0,10276.0,19318.0,0.0,51.0,4600.0,54909.0,79.9
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Lombardia,535803.0,338651.0,63.2,280602.0,221405.0,19189.0,22957.0,57098.0,47574.0,113657.0,390.0,2326.0,37333.0,356468.0,66.5
