report_id,data_riferimento,titolo_tabella,dimensione,etichetta,percorso,presi_in_carico,occupati_totale,occupati_pc,nuovi_occupati,nuovi_occupati_pc,gia_occupati,gia_occupati_pc,quota_nuovi_su_occ
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Abruzzo,,70730.0,31253.0,44.2,28249.0,39.9,3004.0,4.2,90.4
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Basilicata,,46994.0,17499.0,37.2,15846.0,33.7,1653.0,3.5,90.6
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,P.A. Bolzano,,16241.0,8204.0,50.5,7708.0,47.5,496.0,3.1,94.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Calabria,,174974.0,57335.0,32.8,52118.0,29.8,5217.0,3.0,90.9
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Campania,,542557.0,165241.0,30.5,146538.0,27.0,18703.0,3.4,88.7
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Emilia-Romagna,,276849.0,121318.0,43.8,108264.0,39.1,13054.0,4.7,89.2
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Friuli-Venezia Giulia,,110024.0,51740.0,47.0,48490.0,44.1,3250.0,3.0,93.7
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Lazio,,280444.0,117885.0,42.0,101984.0,36.4,15901.0,5.7,86.5
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Liguria,,68763.0,28637.0,41.6,25126.0,36.5,3511.0,5.1,87.7
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Lombardia,,535803.0,226179.0,42.2,199141.0,37.2,27038.0,5.0,88.0
