c1,c2,c3,c4,c5,c6,c7,c8,c9,Valori % riga,c11,c12,c13
,,1. Reinserimento,2. Aggiornamento 3. Riqualificazione,,4.  Lavoro e,5.Ricollocazione,,,,,,
,Totale,,,,,,,,,,,
,,lavorativo,(upskilling) (reskilling),,inclusione,collettiva,Percorso1 Percorso2,,Percorso3 Percorso4,,Percorso 5,
Totale,2.570.887,1.290.835,660.450,527.141,90.492,1.969,"50,2",,"25,7",,"20,5","3,5"
Genere,,,valori % colonna,,,,,,,,,
,,,,,,,"51,2",,"25,9",,"19,2","3,6"
Maschi,"44,5","45,4","44,9","41,7","45,1","54,0",,,,,,
Femmine,"55,5","54,6","55,1","58,3","54,9","46,0","49,4",,"25,5",,"21,5","3,5"
,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,,
Classe di età,,,,,,,,,,,,
15-29,"28,7","28,7","28,8","31,3","13,2","2,3","50,2",,"25,8",,"22,4","1,6"
30-54,"54,1","55,5","52,5","51,0","63,9","69,7","51,5",,"24,9",,"19,3","4,2"
55+,"17,2","15,8","18,7","17,7","22,9","28,0","46,2",,"27,9",,"21,1","4,7"
,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,,
Titolo di studio,,,,,,,,,,,,
Fino alla l icenza media,"46,9","35,3","52,0","63,9","76,2","26,5","37,8",,"28,5",,"28,0","5,7"
Qualifica prof.le,"6,5","7,2","6,3","5,0","4,9","7,9","56,2",,"25,2",,"15,8","2,7"
Scuola secondaria superiore,"36,0","42,0","32,9","28,8","15,8","55,1","58,5",,,"23,4","16,4","1,5"
Laurea triennale,"5,7","8,2","4,9","1,2","1,6","3,6",,"72,3",,,"22,2","4,5"
Laurea specialistica/magistrale,"4,9","7,3","3,8","1,0","1,5","7,0",,"74,5",,,"20,1","4,2"
,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,,
Cittadinanza,,,,,,,,,,,,
Italiana,"84,7","86,4","81,0","87,0","73,7","98,5","51,2",,"24,6",,"21,1","3,1"
Straniera,"15,3","13,6","19,0","13,0","26,3","1,5","44,6",,"31,9",,"17,4","6,1"
,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,,
Durata disoccupazione,,,,,,,,,,,,
Meno di 12 mesi,"68,6","82,4","67,3","41,0","41,1","82,1","60,3",,,"25,2","12,3","2,1"
Da 12 mesi e oltre (LTU),"31,4","17,6","32,7","59,0","58,9","17,9","28,1","26,8",,"38,5",,"6,6"
