c1,c2,SFL,ADI,NASpI-DIScoll,c6
,,,,,Altri
,Totale,Domanda accolta,Attivabili al,Domanda,
,,,,,disoccupati
,,e attiva,lavoro,presentata,
Presi in carico con patto di servizio attivo,2.321.907,111.883,19.503,1.235.560,954.961
Genere,,,,,
Maschi,"44,4","43,3","35,4","46,3","42,2"
Femmine,"55,6","56,7","64,6","53,7","57,8"
Classi di età,,,,,
15-29,"28,7","15,6","8,9","24,5","36,0"
30-54,"53,9","61,7","87,4","56,9","48,5"
55+,"17,4","22,6","3,7","18,6","15,6"
Titolo di studio,,,,,
Fino alla licenza media,"47,4","64,5","71,5","44,9","48,0"
Qualifica professionale,"6,4","4,2","4,3","7,1","5,9"
Diploma istruzione secondaria superiore,"36,0","27,2","22,1","36,8","36,3"
Laurea triennale,"5,4","1,9","0,8","5,9","5,4"
Laurea specialistica/magistrale,"4,8","2,1","1,1","5,4","4,4"
Percorso GOL,,,,,
1. Reinserimento lavorativo,"48,7","7,7","7,2","71,4","24,9"
2. Aggiornamento,"25,9","22,2","15,8","23,9","29,0"
3. Riqualificazione,"21,8","64,0","62,7","3,4","39,8"
4. Lavoro e inclusione,"3,6","6,1","14,3","1,2","6,2"
5. Ricollocazione collettiva,"0,1","0,0","0,0","0,0","0,2"
Totale,"100,0","100,0","100,0","100,0","100,0"
