Abruzzo,43.684,35.035,"80,2",29.622,15.007,3,1.018,242,387,1.626,0,0.1,2.159,35.480,"81,2"
Basilicata,24.555,3.096,"12,6",1.990,192,0,903,443,262,1.606,0,1,946,4.135,"16,8"
P.A. Bolzano,10.623,431,"4,1",295,47,6,10,83,2,94,0,10,212,637,"6,0"
Calabria,100.930,50.754,"50,3",49.776,21.318,1.552,2.232,1.563,681,4.363,0,2.783,4.302,54.245,"53,7"
Campania,338.622,129.072,"38,1",116.187,6.888,249,52.467,98,4.963,57.391,0,1,11.292,138.221,"40,8"
Emilia-Romagna,171.696,137.749,"80,2",134.390,102.111,4.830,20.008,3.966,1.806,24.493,0,1.211,8.950,139.531,"81,3"
FVG,68.708,61.615,"89,7",44.460,51.931,1.314,4.633,6.075,4.525,13.970,10,29,3.124,62.011,"90,3"
Lazio,176.532,71.639,"40,6",71.581,10.680,6,2.717,4.602,1.809,9.059,0,249,10.580,80.085,"45,4"
Liguria,41.848,28.385,"67,8",25.412,11.065,527,15,4.690,4.804,8.695,0,18,1.784,28.876,"69,0"
Lombardia,284.547,123.285,"43,3",119.091,84.468,3.109,4.376,19.617,10.000,28.305,1,1.007,16.867,134.580,"47,3"
Marche,71.712,20.066,"28,0",16.675,7.475,0,669,1.463,1.654,3.680,0,57,5.820,24.423,"34,1"
Molise,6.651,906,"13,6",537,1,0,319,63,39,419,0,0,404,1.310,"19,7"
Piemonte,155.262,95.812,"61,7",89.668,36.986,9.776,22.035,2.560,5.053,28.301,0,0,13.552,98.899,"63,7"
Puglia,222.330,52.678,"23,7",13.145,44.362,262,25,4,1.850,1.877,0,52,10.683,62.050,"27,9"
Sardegna,118.973,81.552,"68,5",80.696,27.124,499,0,3.012,1.757,4.623,0,0,6.363,83.951,"70,6"
Sicilia,319.488,60.702,"19,0",57.785,2.671,4,1.120,412,28,1.555,0,50,11.003,71.758,"22,5"
Toscana,162.797,141.621,"87,0",130.700,89.035,3.836,13.598,6.980,4.890,23.690,949,1.759,6.796,142.299,"87,4"
P.A. Trento,16.987,15.421,"90,8",6.030,13.008,109,111,1.128,1.064,2.348,218,1,263,15.445,"90,9"
Umbria,38.145,21.861,"57,3",21.776,9.492,22,221,2.923,1.472,4.069,0,1,2.832,23.657,"62,0"
Valle d'Aosta,4016,3277,"81,6",1996,1864,143,72,210,167,628,11,0,319,3342,"83,2"
Veneto,192.781,118.076,"61,2",36.762,114.546,782,4.223,18.905,11.469,29.568,1.338,4,18.468,126.851,"65,8"
Totale,2.570.887,1.253.033,"48,7",1.048.574,650.271,27.029,130.772,79.039,58.682,250.360,2.527,7.233,136.719,1.331.786,"51,8"
