Presi in carico con patto di servizio attivo,3.525.754,114.831,48.182,1.499.152,1.863.589
Genere,,,,,
Maschi,"44,2","39,9","40,7","45,6","43,4"
Femmine,"55,8","60,1","59,3","54,4","56,6"
Classi di età,,,,,
15-29,"30,2","27,8","10,3","25,5","34,8"
30-54,"52,7","56,7","85,4","55,7","49,2"
55+,"17,0","15,5","4,3","18,8","16,0"
Totolo di studio,,,,,
Fino alla licenza media,"46,7","63,6","74,0","42,4","48,4"
Qualifica professionale,"6,5","5,0","4,7","7,2","6,1"
Diploma istruzione secondaria superiore,"35,4","27,7","19,0","36,5","35,5"
Laurea triennale,"5,5","1,7","0,9","6,2","5,3"
Laurea specialistica/magistrale,"5,9","2,0","1,3","7,7","4,8"
Percorso GOL,,,,,
1 Reinserimento lavorativo,"48,3","8,5","11,2","72,9","31,9"
2 Aggiornamento,"23,7","19,6","18,6","21,3","26,1"
3 Riqualificazione,"23,9","65,8","57,3","4,5","36,1"
4 Lavoro e inclusione,"3,9","6,1","12,9","1,3","5,6"
5 Ricollocazione collettiva,"0,2","0,0","0,0","0,1","0,4"
Totale,"100,0","100,0","100,0","100,0","100,0"
