Abruzzo,48.980,12.917,13.564,995,0,"64,1","16,9","17,7","1,3","0,0"
Bas i l icata,27.737,8.669,16.948,731,4,"51,3","16,0","31,3","1,4","0,0"
P.A. Bolzano,12.794,3.823,568,818,0,"71,1","21,2","3,2","4,5","0,0"
Calabria,83.352,47.219,55.125,4.551,1246,"43,5","24,7","28,8","2,4","0,7"
Campania,188.752,127.151,250.953,31.928,1785,"31,4","21,2","41,8","5,3","0,3"
Emi l ia-Romagna,185.500,65.117,25.240,20.761,41,"62,5","22,0","8,5","7,0","0,0"
Friul i -Venezia  Giul ia,84.725,27.738,11.028,3.047,589,"66,6","21,8","8,7","2,4","0,5"
Lazio,170.983,52.845,59.643,2.244,1230,"59,6","18,4","20,8","0,8","0,4"
Liguria,48.961,9.007,11.197,3.729,19,"67,1","12,4","15,4","5,1","0,0"
Lombardia,323.516,148.976,90.488,20.071,149,"55,5","25,5","15,5","3,4","0,0"
Marche,90.366,20.299,9.869,2.542,36,"73,4","16,5","8,0","2,1","0,0"
Molise,5.359,4.220,5.375,125,311,"34,8","27,4","34,9","0,8","2,0"
Piemonte,148.601,62.653,46.126,30.292,1163,"51,4","21,7","16,0","10,5","0,4"
Pugl ia,160.596,121.258,117.436,7.537,0,"39,5","29,8","28,9","1,9","0,0"
Sardegna,109.605,45.546,35.666,3.385,1037,"56,1","23,3","18,3","1,7","0,5"
Sici l ia,265.825,134.215,187.720,14.333,1566,"44,0","22,2","31,1","2,4","0,3"
Toscana,222.134,67.491,28.078,12.194,440,"67,2","20,4","8,5","3,7","0,1"
P.A. Trento,17.746,7.252,1.601,2.338,0,"61,3","25,1","5,5","8,1","0,0"
Umbria,49.717,10.294,9.631,1.694,483,"69,2","14,3","13,4","2,4","0,7"
Val le d'Aosta,4.360,1.702,352,1.481,3,"55,2","21,5","4,5","18,8","0,0"
Veneto,167.082,157.128,28.793,9.642,1135,"45,9","43,2","7,9","2,7","0,3"
Totale,2.416.691,1.135.520,1.005.401,174.438,11.237,"50,9","23,9","21,2","3,7","0,2"
