c1,c2,Genere,c4,c5,c6,c7,c8,c9,Cittadinanza,c11,Anzianità disoccupazione
Regione,,,,,,,,,,,
,Maschi,Femmine,Totale,15-29,30-54,55+,Totale,Italiana,Straniera,Totale,>=6 mesi >=12mesi
Abruzzo,"42,0","58,0","100,0","25,0","57,4","17,6","100,0","87,4","12,6","100,0","33,6 29,3"
Basilicata,"44,4","55,6","100,0","26,3","55,8","17,9","100,0","93,7","6,3","100,0","41,7 37,4"
P.A. Bolzano,"48,4","51,6","100,0","29,6","51,2","19,2","100,0","60,8","39,2","100,0","17,4 10,3"
Calabria,"47,5","52,5","100,0","27,8","57,7","14,5","100,0","93,4","6,6","100,0","48,5 44,2"
Campania,"43,9","56,1","100,0","30,5","55,5","14,0","100,0","95,2","4,8","100,0","47,8 44,1"
Emilia-Romagna,"42,3","57,7","100,0","27,1","52,4","20,5","100,0","69,0","31,0","100,0","23,1 18,6"
Friuli-Venezia Giulia,"42,4","57,6","100,0","33,7","48,2","18,1","100,0","77,5","22,5","100,0","17,9 15,6"
Lazio,"42,8","57,2","100,0","28,1","55,1","16,8","100,0","84,5","15,5","100,0","29,6 22,3"
Liguria,"41,4","58,6","100,0","21,9","55,8","22,3","100,0","77,4","22,6","100,0","24,1 16,8"
Lombardia,"43,1","56,9","100,0","31,2","49,8","19,0","100,0","76,9","23,1","100,0","23,5 16,4"
Marche,"42,6","57,4","100,0","30,7","50,2","19,1","100,0","79,4","20,6","100,0","24,2 17,8"
Molise,"46,5","53,5","100,0","27,7","54,9","17,4","100,0","88,9","11,1","100,0","46,0 39,9"
Piemonte,"45,2","54,8","100,0","31,9","50,9","17,2","100,0","74,9","25,1","100,0","26,2 22,1"
Puglia,"45,1","54,9","100,0","34,0","52,1","13,9","100,0","94,7","5,3","100,0","39,9 35,6"
Sardegna,"47,9","52,1","100,0","30,2","52,9","16,9","100,0","95,0","5,0","100,0","42,3 38,1"
Sicilia,"48,5","51,5","100,0","30,6","55,9","13,5","100,0","94,8","5,2","100,0","42,2 39,5"
Toscana,"42,5","57,5","100,0","30,9","50,8","18,3","100,0","76,8","23,2","100,0","27,1 22,6"
P.A. Trento,"43,2","56,8","100,0","28,5","53,5","18,0","100,0","67,7","32,3","100,0","27,5 20,7"
Umbria,"41,3","58,7","100,0","30,3","51,8","17,9","100,0","74,9","25,1","100,0","19,7 16,6"
Valle d'Aosta,"42,6","57,4","100,0","28,4","52,5","19,1","100,0","77,7","22,3","100,0","27,9 17,4"
Veneto,"43,0","57,0","100,0","34,9","46,5","18,6","100,0","76,1","23,9","100,0","17,2 13,8"
Totale,"44,4","55,6","100,0","30,6","52,7","16,7","100,0","84,6","15,4","100,0","32,7 28,2"
