c1,c2,1 2,3,4,5,c7,c8,Valori % riga,c10,c11,c12
,Totale,Reinserimento Aggiornament,Riqualificazion,Lavoro e,Ricollocazione,,,,,,
,,,,,,Percorso1,Percorso2,Percorso3,Percorso4,Percorso 5,
,,lavorativo o,e,inclusione,collettiva,,,,,,
Individui raggiunti,4.213.590,2.123.596  (U1.p0s0k3i.l1li6n8g),(R9e2s2k.i7ll9in9g),153.698,10.329,"50,4",,"23,8",,"21,9","3,6"
Genere,valori % colonna,,,,,,,,,,
Maschi,"44,4","45,1 45,6","41,1","45,5","65,3","51,2",,"24,5",,"20,3","3,7"
"3,6Femmine","55,6","54,9 54,4","58,9","54,5","34,7","49,8",,"23,3",,"23,2",
,"100,0","100,0 100,0","100,0","100,0","100,0",,,,,,
Classe di età,,,,,,,,,,,
"1,915-29","30,6","29,0 31,4","36,2","16,2","2,5","47,8",,"24,4",,"25,9",
"4,430-54","52,7","54,5 50,3","49,3","63,3","61,6","52,1",,"22,7",,"20,5",
"4,555+","16,7","16,5 18,4","14,5","20,4","35,9","49,8",,"26,2",,"19,0",
,"100,0","100,0 100,0","100,0","100,0","100,0",,,,,,
Titolo di studio,,,,,,,,,,,
"5,9Fino alla licenza media","45,9","34,4 51,6","61,6","73,7","31,1","37,8",,"26,8","29,4",,
Qualifica prof.le,"6,7","7,4 6,5","5,5","5,2","7,9","55,9",,,"23,1","17,9","2,8"
Scuola secondaria superiore,"35,6","40,7 32,4","30,1","17,7","48,3","57,7",,,"21,7","18,5","1,8"
Laurea triennale,"5,8","8,3 5,2","1,6","1,7","5,6",,"71,6",,,"21,3 5,81,0",
Laurea specialistica/magistrale,"6,0","9,2 4,3","1,3","1,7","7,1",,"76,9",,,"17,0 4,81,0",
,"100,0","100,0 100,0","100,0","100,0","100,0",,,,,,
Cittadinanza,,,,,,,,,,,
Italiana,"84,6","86,5 80,2","86,6","72,9","97,7","51,6",,"22,6",,"22,4","3,1"
Straniera,"15,4","13,5 19,8","13,4","27,1","2,3","44,0",,"30,5",,"19,0 6,4",
,"100,0","100,0 100,0","100,0","100,0","100,0",,,,,,
Durata disoccupazione,,,,,,,,,,,
Meno di 12 mesi,"71,8","84,9 70,7","47,5","42,9","92,7","59,6",,,"23,4","14,5","2,2"
,,,,,,"26,9","24,8",,"40,8","7,4",
