c1,c2,di cui:,c4,c5,c6,c7,c8,c9
,Individui,con,,,,,,
,,,%,,,,,Persone
,raggiunti,caratteristiche,,,Disoccupati,,,
Percorso,,,,Donne,,Under 30,Over 55,con
,,di vulnerabilità,,,da 6 mesi e,,,
,,,,,,,,disabilità
,,,,,oltre,,,
,(A),(B),(B/A),,,,,
1. Reinserimento lavorativo,2.123.596,1.741.118,"82,0",1.166.323,427.654,616.486,350.148,89.790
2. Upskilling,1.003.168,871.313,"86,9",545.668,344.337,314.898,184.105,56.121
3. Reskilling,922.799,878.549,"95,2",543.925,512.096,334.032,133.688,57.289
4. Lavoro e inclusione,153.698,140.617,"91,5",83.704,94.838,24.970,31.371,32.153
5. Ricollocazione collettiva,10.329,6.788,"65,7",3.586,781,256,3.708,167
Totale,4.213.590,3.638.385,"86,3",2.343.206,1.379.706,1.290.642,703.020,235.520
