Tabella 1.3        Programma GOL: individui per Regione di ultima presa in carico e caratteristiche socio-anagrafiche, val.%
                                                                                                                                                       Anzianità di
                                          Genere                                          Età                              Cittadinanza
Regione                                                                                                                                              disoccupazione
                             Maschi      Femmine        Totale       15-29        30-54         55+    Totale   Italiana    Straniera     Totale   >=6mesi     >=12mesi
Abruzzo                        42,1         57,9         100          25          57,2          17,8    100      87,3         12,7         100      33,4         29
Basilicata                     44,5         55,5         100         26,4         55,6          18      100      93,6          6,4         100      41,2        36,9
P.A. Bolzano                   48,5         51,5         100         29,6         51,3          19,1    100      60,8         39,2         100      17,2        10,1
Calabria                       47,5         52,5         100          28          57,6          14,4    100      93,4          6,6         100      48,4        44,1
Campania                       43,9         56,1         100         30,6         55,4          14      100      95,2          4,8         100      47,5        43,9
Emilia-Romagna                 42,3         57,7         100         27,3         52,2          20,5    100       69           31          100       23         18,6
Friuli-Venezia Giulia          42,5         57,5         100         33,8         48,1          18,1    100      77,5         22,5         100      17,7        15,4
Lazio                          42,9         57,1         100         28,2         54,9          16,9    100      84,5         15,5         100      29,2        21,9
Liguria                        41,5         58,5         100         22,1         55,6          22,3    100      77,4         22,6         100      24,1        16,7
Lombardia                      43,2         56,8         100         31,4         49,6          19      100      76,8         23,2         100      23,4        16,3
Marche                         42,6         57,4         100         30,8         50,1          19,1    100      79,5         20,5         100       24         17,6
Molise                         46,4         53,6         100         27,9         54,6          17,5    100       89           11          100      46,2        40,3
Piemonte                       45,2         54,8         100          32          50,8          17,2    100      74,8         25,2         100      26,1         22
Puglia                          45           55          100         34,2         51,9          13,9    100      94,7          5,3         100      39,7        35,4
Sardegna                       47,9         52,1         100         30,2         52,8          17      100      94,9          5,1         100      41,9        37,7
Sicilia                        48,8         51,2         100         30,5         55,5          14      100      94,8          5,2         100       42         39,3
Toscana                        42,5         57,5         100         31,2         50,5          18,3    100      76,8         23,2         100      27,1        22,6
P.A. Trento                    43,2         56,8         100         28,6         53,5          17,9    100      67,7         32,3         100      27,4        20,8
Umbria                         41,4         58,6         100         30,7         51,5          17,8    100      74,8         25,2         100      19,6        16,6
Valle d'Aosta                  42,4         57,6         100         29,5         51,7          18,8    100      77,7         22,3         100      27,4        16,9
Veneto                          43           57          100          35          46,4          18,6    100      76,1         23,9         100      17,2        13,8
 Totale                         44,4         55,6        100           30,8          52,4       16,8    100      84,6         15,4         100      32,6         28
Fonte: elaborazioni Inapp su dati MLPS – Sistema Informativo Unitario (dati al 30 novembre 2025)
