Tabella 1.3      Programma GOL: individui per Regione di ultima presa in carico e caratteristiche socio-
                 anagrafiche, val.%
                                                                                                                        Anzianità
                                 Genere                              Età                     Cittadinanza
                                                                                                                     disoccupazione

                                                                                                            Total    >=        >=
                        Maschi Femmine      Totale   15-29 30-54       55+    Totale   Italiana Straniera
Regione                                                                                                       e     6mesi    12mesi
Abruzzo                   42,2       57,8      100    25,0    57,1     17,9      100      87,3       12,7    100      33,2      28,8
Basilicata                44,7       55,3      100    26,4    55,5     18,1      100      93,6        6,4    100      40,8      36,6
P.A. Bolzano              48,6       51,4      100    29,7    51,1     19,2      100      60,8       39,2    100      17,1      10,1
Calabria                  47,4       52,6      100    28,0    57,5     14,5      100      93,4        6,6    100      48,7      44,4
Campania                  43,9       56,1      100    30,8    55,2     14,0      100      95,2        4,8    100      47,4      43,7
Emilia-Romagna            42,4       57,6      100    27,5    52,0     20,5      100      69,0       31,0    100      22,9      18,5
Friuli-Venezia Giulia     42,5       57,5      100    34,0    47,9     18,1      100      77,4       22,6    100      17,5      15,2
Lazio                     43,0       57,0      100    28,4    54,7     16,9      100      84,4       15,6    100      28,8      21,5
Liguria                   41,6       58,4      100    22,3    55,5     22,2      100      77,4       22,6    100      24,0      16,7
Lombardia                 43,2       56,8      100    31,4    49,6     19,0      100      76,7       23,3    100      23,3      16,3
Marche                    42,8       57,2      100    30,9    50,0     19,1      100      79,5       20,5    100      23,8      17,5
Molise                    46,3       53,7      100    27,8    54,5     17,7      100      89,1       10,9    100      46,6      40,7
Piemonte                  45,3       54,7      100    32,0    50,8     17,2      100      74,8       25,2    100      26,0      21,9
Puglia                    45,1       54,9      100    34,3    51,7     14,0      100      94,7        5,3    100      39,4      35,2
Sardegna                  47,9       52,1      100    30,3    52,7     17,0      100      94,8        5,2    100      41,5      37,3
Sicilia                   49,0       51,0      100    30,4    55,1     14,5      100      94,8        5,2    100      41,6      39,0
Toscana                   42,6       57,4      100    31,3    50,4     18,3      100      76,8       23,2    100      27,0      22,5
P.A. Trento               43,4       56,6      100    28,7    53,4     17,9      100      67,7       32,3    100      27,2      20,7
Umbria                    41,4       58,6      100    30,8    51,4     17,8      100      74,7       25,3    100      19,6      16,5
Valle d'Aosta             42,6       57,4      100    29,6    51,6     18,8      100      77,8       22,2    100      26,9      16,5
Veneto                    43,0       57,0      100    35,0    46,4     18,6      100      76,1       23,9    100      17,1      13,7
Totale                    44,5       55,5      100    30,8    52,4     16,8      100      84,5       15,5    100      32,4      27,9
Fonte: elaborazioni Inapp su dati MLPS - Sistema Informativo Unitario (dati al 31 dicembre 2025)
