c1,c2,c3,Prese in carico,c5,c6,c7,c8,c9,c10,c11,c12,c13,Corsi di formazione,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30
,,,,,,,,,,,,,Totale,,,In corso,,,Abbandonati,,,,,,Completati,,,,
,,,Totale,,,,Con,,%,,,A,,,B,,,C,,,"C/(A-B)
%",,,D,,,"D/(A-B)
%",,
,,,,,,,formazion,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,e,,,,,,,,,,,,,,,,,,,,,,
,Totale,,,5.038.534,,,1.207.049,,,24,,,1.438.915,,,322.508,,,208.912,,,"18,7",,,907.495,,,"81,3",
,Area geografica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nord-Ovest,,,1.013.929,,,247.679,,,"24,4",,,329.591,,,76.615,,,49.288,,,"19,5",,,203.688,,,"80,5",
,Nord-Est,,,875.483,,,254.339,,,"29,1",,,296.693,,,57.138,,,45.473,,,19,,,194.082,,,81,
,Centro,,,867.739,,,208.475,,,24,,,263.520,,,33.284,,,37.290,,,"16,2",,,192.946,,,"83,8",
,Sud e Isole,,,2.281.383,,,496.556,,,"21,8",,,549.111,,,155.471,,,76.861,,,"19,5",,,316.779,,,"80,5",
,Percorso GOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Reinserimento lavorativo,,,2.579.984,,,414.726,,,"16,1",,,475.466,,,109.723,,,77.347,,,"21,1",,,288.396,,,"78,9",
,2 Aggiornamento,,,1.199.016,,,358.346,,,"29,9",,,438.607,,,56.913,,,73.517,,,"19,3",,,308.177,,,"80,7",
,3 Riqualificazione,,,1.054.666,,,372.397,,,"35,3",,,433.931,,,141.428,,,47.674,,,"16,3",,,244.829,,,"83,7",
,4 Lavoro e inclusione,,,192.137,,,56.597,,,"29,5",,,84.211,,,13.448,,,10.057,,,"14,2",,,60.706,,,"85,8",
,5 Ricollocazione collettiva,,,12.731,,,4.983,,,"39,1",,,6.700,,,996,,,317,,,"5,6",,,5.387,,,"94,4",
,Classe di età,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-29,,,1.514.292,,,324.601,,,"21,4",,,372.350,,,110.077,,,51.864,,,"19,8",,,210.409,,,"80,2",
,30-54,,,2.684.734,,,691.378,,,"25,8",,,833.612,,,170.042,,,125.724,,,"18,9",,,537.846,,,"81,1",
,55+,,,839.508,,,191.070,,,"22,8",,,232.953,,,42.389,,,31.324,,,"16,4",,,159.240,,,"83,6",
,Genere,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maschi,,,2.235.179,,,456.519,,,"20,4",,,541.301,,,125.453,,,83.686,,,"20,1",,,332.162,,,"79,9",
,Femmine,,,2.803.355,,,750.530,,,"26,8",,,897.614,,,197.055,,,125.226,,,"17,9",,,575.333,,,"82,1",
,Titolo di studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fino alla licenza media,,,2.306.254,,,553.362,,,24,,,671.792,,,157.719,,,97.471,,,19,,,416.602,,,81,
,Qualifica professionale,,,339.774,,,84.733,,,"24,9",,,101.911,,,23.819,,,14.030,,,18,,,64.062,,,82,
,Scuola secondaria,,1.797.947,,,442.717,,,"24,6",,,518.109,,,112.812,,,73.022,,,18,,,332.275,,,82,,
,superiore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laurea triennale,,,293.210,,,60.632,,,"20,7",,,71.071,,,13.906,,,11.650,,,"20,4",,,45.515,,,"79,6",
,Laurea,,300.409,,,65.264,,,"21,7",,,75.574,,,14.154,,,12.710,,,"20,7",,,48.710,,,"79,3",,
,specialistica/magistrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cittadinanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stranieri,,,773.885,,,189.331,,,"24,5",,,238.759,,,46.154,,,39.676,,,"20,6",,,152.929,,,"79,4",
,Italiani,,,4.264.649,,,1.017.718,,,"23,9",,,1.200.156,,,276.354,,,169.236,,,"18,3",,,754.566,,,"81,7",
