Regione,c2,c3,c4,Prese in carico per anno,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,"Individui
raggiunti",c23,c24
,,,2022,,,2023,,,2024,,,2025*,,,Totale,,,,Incidenza %,,,,
,,,,,,,,,,,,,,,,,,,del 2025 sul,,,,
,,,,,,,,,,,,,,,,,,,totale,,,,
,Abruzzo,,,9.711,,,25.277,,,24.252,,,2.444,,,61.684,,,"4,0",,,57.185,
,Basilicata,,,6.602,,,13.093,,,18.894,,,2.363,,,40.952,,,"5,8",,,35.892,
,P.A. Bolzano,,,2.431,,,5.867,,,5.600,,,508,,,14.406,,,"3,5",,,13.142,
,Calabria,,,28.236,,,48.951,,,64.204,,,4.891,,,146.282,,,"3,3",,,134.381,
,Campania,,,93.534,,,167.689,,,208.993,,,14.534,,,484.750,,,"3,0",,,437.648,
,Emilia-Romagna,,,44.421,,,84.001,,,89.311,,,9.216,,,226.949,,,"4,1",,,215.418,
,Friuli-Venezia Giulia,,,21.741,,,39.411,,,37.728,,,3.282,,,102.162,,,"3,2",,,89.384,
,Lazio,,,61.923,,,79.202,,,75.356,,,5.582,,,222.063,,,"2,5",,,214.342,
,Liguria,,,11.863,,,21.133,,,22.339,,,1.013,,,56.348,,,"1,8",,,53.085,
,Lombardia,,,78.452,,,138.454,,,165.441,,,16.898,,,399.245,,,"4,2",,,366.586,
,Marche,,,18.630,,,36.434,,,39.484,,,3.343,,,97.891,,,"3,4",,,88.374,
,Molise,,,1.712,,,2.673,,,4.579,,,575,,,9.539,,,"6,0",,,8.951,
,Piemonte,,,47.024,,,73.770,,,80.886,,,8.858,,,210.538,,,"4,2",,,195.066,
,Puglia,,,71.796,,,103.251,,,117.905,,,11.740,,,304.692,,,"3,9",,,289.372,
,Sardegna,,,39.327,,,59.368,,,54.475,,,4.389,,,157.559,,,"2,8",,,140.554,
,Sicilia,,,67.443,,,169.416,,,195.026,,,15.802,,,447.687,,,"3,5",,,414.052,
,Toscana,,,44.389,,,83.884,,,103.415,,,11.831,,,243.519,,,"4,9",,,214.267,
,P.A. Trento,,,4.950,,,8.049,,,8.032,,,683,,,21.714,,,"3,1",,,21.236,
,Umbria,,,11.339,,,20.515,,,21.448,,,2.084,,,55.386,,,"3,8",,,49.646,
,Valle D'Aosta,,,1.297,,,1.930,,,2.060,,,219,,,5.506,,,"4,0",,,5.071,
,Veneto,,,40.551,,,115.686,,,107.550,,,9.649,,,273.436,,,"3,5",,,243.260,
,Totale,,,707.372,,,1.298.054,,,1.446.978,,,129.904,,,3.582.308,,,"3,6",,,3.286.912,
