Tabella 1.3 Programma GOL: individui per Regione di ultima presa in carico e caratteristiche socio-
            anagrafiche, val.%
                                                                                                                         Anzianità
                                  Genere                      Classe di età                    Cittadinanza
                                                                                                                      disoccupazione
                                                                                                                       >=6     >=12
Regione                 Maschi Femmine        Tot    15-29 30-54     55+      Tot     Italiana Straniera      Tot
                                                                                                                      mesi      mesi
Abruzzo                  41,4       58,6     100,0    24,4   58,5    17,1     100,0     88,3       11,7       100,0    35,6     31,2
Basilicata               45,8       54,2     100,0    27,0   55,6    17,4     100,0     93,8       6,2        100,0    46,5     41,8
P.A. Bolzano             48,5       51,5     100,0    29,2   51,5    19,3     100,0     61,0       39,0       100,0    18,2     11,1
Calabria                 48,1       51,9     100,0    24,9   60,1    15,0     100,0     93,4       6,6        100,0    52,0     47,2
Campania                 44,6       55,4     100,0    29,2   56,6    14,2     100,0     95,3       4,7        100,0    50,5     46,6
Emilia-Romagna           41,7       58,3     100,0    26,1   53,5    20,4     100,0     69,0       31,0       100,0    24,4     19,5
Friuli-Venezia Giulia    41,5       58,5     100,0    32,3   49,5    18,2     100,0     77,9       22,1       100,0    20,6     18,0
Lazio                    43,2       56,8     100,0    28,1   55,5    16,4     100,0     84,6       15,4       100,0    32,7     24,6
Liguria                  40,6       59,4     100,0    20,1   57,3    22,6     100,0     78,1       21,9       100,0    26,5     18,7
Lombardia                42,6       57,4     100,0    26,5   53,1    20,4     100,0     76,5       23,5       100,0    25,5     18,6
Marche                   41,8       58,2     100,0    30,2   50,8    19,0     100,0     79,4       20,6       100,0    26,3     19,5
Molise                   46,8       53,2     100,0    26,9   56,8    16,3     100,0     89,2       10,8       100,0    54,5     47,3
Piemonte                 44,8       55,2     100,0    31,0   52,5    16,5     100,0     74,6       25,4       100,0    27,5     23,3
Puglia                   46,1       53,9     100,0    33,4   52,9    13,7     100,0     94,8       5,2        100,0    43,6     38,7
Sardegna                 48,8       51,2     100,0    30,3   53,2    16,5     100,0     95,1       4,9        100,0    46,7     41,8
Sicilia                  49,4       50,6     100,0    29,9   56,9    13,2     100,0     94,9       5,1        100,0    45,8     42,7
Toscana                  42,8       57,2     100,0    29,7   52,0    18,3     100,0     75,9       24,1       100,0    28,6     23,8
P.A. Trento              42,4       57,6     100,0    27,9   54,3    17,8     100,0     67,6       32,4       100,0    28,2     21,2
Umbria                   40,2       59,8     100,0    28,5   53,7    17,8     100,0     75,5       24,5       100,0    21,1     17,6
Valle d'Aosta            41,3       58,7     100,0    25,4   54,5    20,1     100,0     78,1       21,9       100,0    31,9     19,9
Veneto                   42,1       57,9     100,0    33,1   48,0    18,9     100,0     75,7       24,3       100,0    19,0     15,5
Totale                   44,5       55,5     100,0    29,2   54,1    16,7     100,0     84,7       15,3       100,0    35,5     30,7

Fonte: elaborazioni Inapp su dati MLPS - Sistema Informativo Unitario (dati al 31 gennaio 2025)
