c1,c2,c3,Occupati alla data di riferimento,c5,c6
,Individui presi,,di cui:  di cui:,,Quota (%) nuovi
Regione presa in carico,in carico,Totale occupati,con nuovo rapporto di lavoro con rapporto di lavoro avviato prima,,rapporti di lavoro sul
,,,avviato dopo la presa in carico della presa in carico,,totale occupati
,(A),(B) (B/A)%,(C) (C/A) % (D),(D/A) %,(C/B)%
Abruzzo,43.684,"20.010 45,8","18.260 41,8 1.750","4,0","91,3"
Basilicata,24.552,"8.445 34,4","7.669 31,2 776","3,2","90,8"
P.A. Bolzano,10.623,"5.650 53,2","5.315 50,0 335","3,2","94,1"
Calabria,100.930,"34.095 33,8","31.145 30,9 2.950","2,9","91,3"
Campania,338.453,"110.792 32,7","99.473 29,4 11.319","3,3","89,8"
Emilia-Romagna,171.689,"78.016 45,4","69.827 40,7 8.189","4,8","89,5"
Friuli-Venezia Giulia,68.595,"33.096 48,2","31.114 45,4 1.982","2,9","94,0"
Lazio,176.528,"73.650 41,7","63.679 36,1 9.971","5,6","86,5"
Liguria,41.848,"19.699 47,1","17.554 41,9 2.145","5,1","89,1"
Lombardia,284.534,"123.725 43,5","108.361 38,1 15.364","5,4","87,6"
Marche,71.712,"32.388 45,2","29.099 40,6 3.289","4,6","89,8"
Molise,6.536,"2.481 38,0","2.228 34,1 253","3,9","89,8"
Piemonte,155.262,"64.632 41,6","57.594 37,1 7.038","4,5","89,1"
Puglia,222.330,"93.179 41,9","86.047 38,7 7.132","3,2","92,3"
Sardegna,118.880,"58.684 49,4","54.882 46,2 3.802","3,2","93,5"
Sicilia,318.791,"101.189 31,7","92.024 28,9 9.165","2,9","90,9"
Toscana,162.797,"82.778 50,8","75.008 46,1 7.770","4,8","90,6"
P.A. Trento,16.987,"8.463 49,8","7.996 47,1 467","2,7","94,5"
Umbria,38.010,"17.882 47,0","15.981 42,0 1.901","5,0","89,4"
Valle d'Aosta,4.015,"1.940 48,3","1.768 44,0 172","4,3","91,1"
Veneto,192.454,"90.168 46,9","83.971 43,6 6.197","3,2","93,1"
1. Reinserimento lavorativo,1.292.239,"665.597 51,5","609.317 47,2 56.280","4,4","91,5"
2. Upskilling,659.750,"271.039 41,1","241.639 36,6 29.400","4,5","89,2"
3. Reskilling,527.495,"104.427 19,8","92.441 17,5 11.986","2,3","88,5"
4. Lavoro e inclusione,89.726,"19.899 22,2","15.598 17,4 4.301","4,8","78,4"
Totale,2.569.210,"1.060.962 41,3","958.995 37,3 101.967","4,0","90,4"
