c1,c2,Genere,c4,c5,Età,c7,c8,c9,Cittadinanza,c11,Anzianità disoccupazione
Regione,,,,,,,,,,,
,Maschi,Femmine,Totale,15-29,30-54,55+,Totale,Italiana,Straniera,Totale,>=6mesi >=12mesi
Abruzzo,"41,6","58,4","100,0","24,5","58,3","17,2","100,0","88,0","12,0","100,0","35,2 30,8"
Basilicata,"45,6","54,4","100,0","26,9","55,6","17,5","100,0","93,8","6,2","100,0","46,0 41,4"
P.A. Bolzano,"48,5","51,5","100,0","29,3","51,5","19,2","100,0","60,9","39,1","100,0","18,0 11,0"
Calabria,"48,2","51,8","100,0","25,2","59,8","15,0","100,0","93,4","6,6","100,0","51,7 47,0"
Campania,"44,6","55,4","100,0","29,3","56,5","14,2","100,0","95,2","4,8","100,0","50,0 46,2"
Emilia-Romagna,"41,8","58,2","100,0","26,2","53,4","20,4","100,0","69,0","31,0","100,0","24,1 19,4"
Friuli-Venezia Giulia,"41,7","58,3","100,0","32,3","49,4","18,3","100,0","77,8","22,2","100,0","20,2 17,6"
Lazio,"43,2","56,8","100,0","28,1","55,5","16,4","100,0","84,6","15,4","100,0","32,4 24,3"
Liguria,"40,9","59,1","100,0","20,4","57,1","22,5","100,0","77,9","22,1","100,0","26,1 18,4"
Lombardia,"42,8","57,2","100,0","26,6","53,1","20,3","100,0","76,4","23,6","100,0","25,5 18,4"
Marche,"41,9","58,1","100,0","30,2","50,8","19,0","100,0","79,4","20,6","100,0","26,0 19,2"
Molise,"47,3","52,7","100,0","27,0","56,5","16,5","100,0","89,0","11,0","100,0","53,1 46,2"
Piemonte,"45,0","55,0","100,0","31,0","52,4","16,6","100,0","74,6","25,4","100,0","27,3 23,1"
Puglia,"46,1","53,9","100,0","33,4","52,8","13,8","100,0","94,8","5,2","100,0","43,2 38,4"
Sardegna,"48,8","51,2","100,0","30,2","53,2","16,6","100,0","95,1","4,9","100,0","46,2 41,4"
Sicilia,"49,5","50,5","100,0","29,9","56,9","13,2","100,0","94,9","5,1","100,0","45,3 42,3"
Toscana,"42,8","57,2","100,0","29,8","51,9","18,3","100,0","75,9","24,1","100,0","28,3 23,6"
P.A. Trento,"42,7","57,3","100,0","28,0","54,2","17,8","100,0","67,6","32,4","100,0","28,0 21,0"
Umbria,"40,4","59,6","100,0","28,5","53,6","17,9","100,0","75,4","24,6","100,0","21,0 17,5"
Valle D'Aosta,"41,4","58,6","100,0","25,3","54,5","20,2","100,0","78,0","22,0","100,0","31,9 20,1"
Veneto,"42,2","57,8","100,0","32,9","48,1","19,0","100,0","75,8","24,2","100,0","18,5 15,0"
Totale,"44,6","55,4","100,0","29,2","54,0","16,8","100,0","84,6","15,4","100,0","35,1 30,3"
