c1,c2,c3,c4,Presi in carico con patto di servizio attivo,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
,,,Totale,,,,SFL,,"ADI
Attivabili al lavoro",,,,NASpI-DisColl,,Altri disoccupati,,
,,,,,,,Domanda accolta,,,,,,Domanda,,,,
,,,,,,,e attiva,,,,,,presentata,,,,
,Abruzzo,,,56.210,,,1.474,,,1.527,,,32.487,,,20.722,
,Basilicata,,,35.144,,,1.034,,,1.104,,,17.404,,,15.602,
,P.A. Bolzano,,,5.650,,,0,,,8,,,4.693,,,949,
,Calabria,,,109.987,,,9.851,,,11.024,,,43.241,,,45.871,
,Campania,,,429.386,,,30.615,,,51.411,,,120.151,,,227.209,
,Emilia-Romagna,,,152.907,,,1.447,,,1.303,,,93.231,,,56.926,
,Friuli-Venezia Giulia,,,65.168,,,411,,,206,,,40.282,,,24.269,
,Lazio,,,209.154,,,6.450,,,6.163,,,96.773,,,99.768,
,Liguria,,,38.346,,,886,,,615,,,22.385,,,14.460,
,Lombardia,,,363.843,,,3.550,,,3.019,,,193.037,,,164.237,
,Marche,,,73.914,,,597,,,624,,,41.289,,,31.404,
,Molise,,,9.002,,,625,,,486,,,2.574,,,5.317,
,Piemonte,,,156.069,,,3.743,,,3.440,,,77.232,,,71.654,
,Puglia,,,293.219,,,12.138,,,13.328,,,116.035,,,151.718,
,Sardegna,,,108.177,,,4.952,,,2.937,,,52.181,,,48.107,
,Sicilia,,,414.953,,,27.765,,,43.820,,,146.894,,,196.474,
,Toscana,,,195.759,,,1.614,,,1.336,,,115.633,,,77.176,
,P.A. Trento,,,14.208,,,34,,,69,,,8.811,,,5.294,
,Umbria,,,50.526,,,409,,,424,,,27.146,,,22.547,
,Valle D'Aosta,,,2.749,,,22,,,22,,,1.790,,,915,
,Veneto,,,180.783,,,810,,,747,,,102.559,,,76.667,
,Totale,,,2.965.154,,,108.427,,,143.613,,,1.355.828,,,1.357.286,
