c1,c2,c3,Individui raggiunti,c5,c6,c7,Occupati alla data di riferimento,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30
,,,,,,Totale,,,,,,,,di cui: con “nuovo” rapporto,,,,,,,di cui: con rapporto di,,,,,,,Quota (%) nuovi,
,,,,,,,,,,,,,,di lavoro avviato dopo la,,,,,,,lavoro avviato prima,,,,,,,rapporti di lavoro sul,
,,,,,,,,,,,,,,presa in carico,,,,,,,della presa in carico,,,,,,,totale occupati,
,Regione presa in carico,,,(A),,,(B),,,(B/A) %,,,,(C),,,(C/A) %,,,,(D),,,(D/A) %,,,,(C/B )%,
,Abruzzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basilicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.A. Bolzano,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Campania,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emilia-Romagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Friuli-Venezia Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liguria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lombardia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marche,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Molise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Piemonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Puglia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sardegna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sicilia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toscana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.A. Trento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Umbria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valle d'Aosta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Veneto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percorso GOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
