c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
,"44,5",,,"41,5",,,"38,7",,,"46,8",,,"43,1",
,"55,5",,,"58,5",,,"61,3",,,"53,2",,,"56,9",
,,,,,,,,,,,,,,
,"29,2",,,"22,4",,,"9,5",,,"25,7",,,"34,9",
,"53,7",,,"58,5",,,"86,1",,,"55,6",,,"48,3",
,"17,1",,,"19,1",,,"4,4",,,"18,7",,,"16,7",
,,,,,,,,,,,,,,
,"47,5",,,"65,3",,,"75,2",,,"44,6",,,"46,3",
,"6,4",,,"4,5",,,"4,3",,,"7,2",,,"6,0",
,"35,7",,,"26,5",,,"18,5",,,"36,8",,,"37,1",
,"5,3",,,"1,6",,,"0,8",,,"5,7",,,"5,6",
,"5,1",,,"2,1",,,"1,1",,,"5,7",,,"5,0",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"48,0",,,"7,5",,,"7,0",,,"71,8",,,"32,0",
,"24,7",,,"20,3",,,"15,6",,,"22,6",,,"28,0",
,"23,1",,,"65,8",,,"63,7",,,"4,2",,,"34,2",
,"4,0",,,"6,5",,,"13,7",,,"1,3",,,"5,5",
,"0,2",,,"0,0",,,"0,0",,,"0,0",,,"0,3",
,"100,0",,,"100,0",,,"100,0",,,"100,0",,,"100,0",
