Tabella 1.3        Programma GOL: individui per Regione e caratteristiche socio-anagrafiche, val.%
                                           Genere                                          Età                              Cittadinanza            Anzianità disoccupazione
Regione
                             Maschi       Femmine        Totale       15-29        30-54         55+    Totale   Italiana     Straniera    Totale   >=6mesi       >=12mesi

Abruzzo                        41,7         58,3          100,0        24,7         58,1         17,2   100,0     87,8          12,2       100,0      34,8           30,4
Basilicata                     45,4         54,6          100,0        26,8         55,6         17,6   100,0     93,7           6,3       100,0      45,5           40,9
P.A. Bolzano                   48,4         51,6          100,0        29,2         51,6         19,2   100,0     60,8          39,2       100,0      17,7           10,8
Calabria                       48,2         51,8          100,0        27,4         58,1         14,5   100,0     93,4           6,6       100,0      50,2           45,6
Campania                       44,5         55,5          100,0        29,5         56,4         14,1   100,0     95,2           4,8       100,0      49,5           45,7
Emilia-Romagna                 42,0         58,0          100,0        26,4         53,1         20,5   100,0     68,9          31,1       100,0      23,8           19,2
Friuli-Venezia Giulia          42,0         58,0          100,0        32,3         49,3         18,4   100,0     77,5          22,5       100,0      19,6           17,1
Lazio                          43,2         56,8          100,0        28,1         55,4         16,5   100,0     84,5          15,5       100,0      31,8           24,0
Liguria                        41,2         58,8          100,0        20,9         56,8         22,3   100,0     77,7          22,3       100,0      25,3           17,8
Lombardia                      42,9         57,1          100,0        27,0         52,7         20,3   100,0     76,3          23,7       100,0      25,5           18,3
Marche                         42,1         57,9          100,0        30,3         50,7         19,0   100,0     79,3          20,7       100,0      25,3           18,7
Molise                         47,8         52,2          100,0        26,7         55,8         17,5   100,0     88,9          11,1       100,0      50,6           43,8
Piemonte                       45,1         54,9          100,0        31,0         52,2         16,8   100,0     74,5          25,5       100,0      27,1           22,9
Puglia                         46,0         54,0          100,0        33,4         52,8         13,8   100,0     94,7           5,3       100,0      42,7           37,9
Sardegna                       48,9         51,1          100,0        30,1         53,2         16,7   100,0     95,0           5,0       100,0      45,5           40,8
Sicilia                        49,6         50,4          100,0        30,1         56,6         13,3   100,0     94,8           5,2       100,0      44,6           41,6
Toscana                        42,9         57,1          100,0        30,0         51,6         18,4   100,0     75,9          24,1       100,0      28,2           23,5
P.A. Trento                    43,2         56,8          100,0        28,1         53,9         18,0   100,0     67,5          32,5       100,0      27,7           20,8
Umbria                         40,6         59,4          100,0        28,6         53,4         18,0   100,0     75,2          24,8       100,0      20,8           17,3
Valle d'Aosta                  41,8         58,2          100,0        25,3         54,5         20,2   100,0     77,6          22,4       100,0      31,5           19,9
Veneto                         42,3         57,7          100,0        33,0         48,0         19,0   100,0     75,8          24,2       100,0      18,2           14,8
Totale                         44,7         55,3          100,0        29,5         53,7         16,8   100,0     84,5          15,5       100,0      34,6           29,9

Fonte: elaborazioni Inapp su dati MLPS - Sistema Informativo Unitario (dati al 30 aprile 2025)
