c1,c2,1. 2.,3.,4.,5.,c7,c8,Valori % riga,c10,c11,c12
,Totale,Reinserimento  Aggiornamento Riqualificazione,,Lavoro e,Ricollocazione,,,,,,
,,,,,,Percorso1,Percorso2,Percorso3,Percorso4,Percorso 5,
,,lavorativo  (Upskilling ) (Reskilling ),,inclusione,collettiva,,,,,,
Individui raggiunti,3.574.452,1.793.203 881.797,758.398,135.330,5.724,"50,2",,"24,7",,"21,2","3,8"
Genere,,valori % colonna,,,,,,,,,
Maschi,"44,7","45,8 45,4","40,9","45,0","64,8","51,5",,"25,1",,"19,4","3,8"
"3,8Femmine","55,3","54,2 54,6","59,1","55,0","35,2","49,1",,"24,3",,"22,7",
Totale,"100,0","100,0 100,0","100,0","100,0","100,0",,,,,,
Classe di età,,,,,,,,,,,
"1,915-29","29,5","29,1 30,4","32,1","15,2","2,3","49,5",,"25,4",,"23,1",
"4,530-54","53,7","54,6 51,4","52,4","64,3","66,7","51,0",,"23,6",,"20,7",
"4,655+","16,8","16,3 18,2","15,5","20,5","31,0","48,7",,"26,8",,"19,6",
Totale,"100,0","100,0 100,0","100,0","100,0","100,0",,,,,,
Titolo di studio,,,,,,,,,,,
"6,0Fino alla licenza media","46,8","35,5 51,9","62,5","74,4","29,6","38,1",,"27,4",,"28,4",
Qualifica prof.le,"6,5","7,4 6,4","5,1","5,1","8,2","56,5",,,"24,0","16,4","2,9"
Scuola secondaria superiore,"35,8","41,3 32,5","29,7","17,3","49,6","57,9",,,"22,4","17,6","1,8"
Laurea triennale,"5,7","8,1 5,1","1,4","1,6","5,2",,"71,5",,,"22,0 5,31,1",
Laurea specialistica/magistrale,"5,3","7,8 4,2","1,3","1,7","7,3",,"74,0",,,"19,6 5,11,2",
Totale,"100,0","100,0 100,0","100,0","100,0","100,0",,,,,,
Cittadinanza,,,,,,,,,,,
Italiana,"84,5","86,3 80,5","86,8","73,6","97,9","51,2",,"23,5",,"21,8","3,3"
Straniera,"15,5","13,7 19,5","13,2","26,4","2,1","44,4",,"31,0",,"18,1 6,4",
Totale,"100,0","100,0 100,0","100,0","100,0","100,0",,,,,,
Durata disoccupazione,,,,,,,,,,,
Meno di 12 mesi,"70,1","83,9 69,4","43,4","41,7","92,9","60,0",,,"24,4","13,1","2,2"
,,,,,,"27,0","25,3",,"40,2","7,4",
