Individui raggiunti,3.662.385,1.836.021,902.317,778.987,138.407,6.653,"50,1",c9,c10,"24,6","21,3 3,8"
Genere,,,Valori % colonna,,,,,,,,
Maschi,"44,7","45,9","45,5","40,8","45,1","62,0","51,5",,,"25,1","19,4 3,8"
Femmine,"55,3","54,1","54,5","59,2","54,9","38,0","49,1",,,"24,3","22,8 3,8"
,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,
Classe di età,,,,,,,,,,,
15-29,"29,6","29,1","30,5","32,2","15,3","2,0","49,4",,,"25,4","23,2 2,0"
30-54,"53,6","54,5","51,2","52,3","64,2","62,9","51,0",,,"23,5","20,7 4,5"
55+,"16,8","16,3","18,2","15,5","20,5","35,0","48,7",,,"26,7","19,6 4,6"
,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,
Titolo di studio,,,,,,,,,,,
Fino alla licenza media,"46,8","35,6","52,0","62,4","74,3","27,3","38,1",,"27,4",,"28,4 6,0"
Qualifica prof.le,"6,6","7,4","6,4","5,1","5,1","8,0","56,5",,,"23,9","16,4 2,9"
Scuola secondaria superiore,"35,7","41,2","32,4","29,8","17,3","51,2","57,8",,,"22,3","17,7 1,8"
Laurea triennale,"5,7","8,1","5,1","1,5","1,6","5,6","71,2",,,,"22,1 5,51,1"
Laurea specialistica/magistrale,"5,3","7,8","4,2","1,3","1,7","7,9",,"73,8",,,"19,6 5,21,2"
,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,
Cittadinanza,,,,,,,,,,,
Italiana,"84,4","86,2","80,4","86,7","73,4","98,1","51,2",,,"23,5","21,8 3,3"
Straniera,"15,6","13,8","19,6","13,3","26,6","1,9","44,4",,,"31,0","18,1 6,4"
,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,
Durata disoccupazione,,,,,,,,,,,
Meno di 12 mesi,"70,3","84,1","69,6","43,6","41,9","93,9","59,9",,,"24,4","13,2 2,3"
,,,,,,,"26,9","25,3",,"40,4","7,4"
