Abruzzo,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16
,63.468,53.245,"83,9",41.936,29.349,13,1.463,705,839,2.968,0,2,3.768,53.995,"85,1"
Basilicata,40.028,12.934,"32,3",8.285,2.756,0,2.674,1.280,2.390,6.324,0,88,1.647,14.632,"36,6"
P.A. Bolzano,,,,,,,,,,,,,,,
,14.518,14.333,"98,7",1.515,14.316,18,16,715,322,900,0,20,283,14.341,"98,8"
Calabria,,,,,,,,,,,,,,,
,152.803,96.745,"63,3",95.231,46.604,2.688,5.311,4.597,2.984,12.571,0,3.181,5.710,100.456,"65,7"
Campania,,,,,,,,,,,,,,,
,476.857,321.368,"67,4",307.100,96.764,7.705,117.396,216,12.156,129.530,707,1.988,24.068,330.072,"69,2"
Emilia-Romagna,,,,,,,,,,,,,,,
,241.735,205.691,"85,1",193.820,156.641,7.815,32.278,6.613,51.889,87.638,1,1.753,14.392,207.981,"86,0"
Friuli-Venezia,,,,,,,,,,,,,,,
Giulia,97.619,92.273,"94,5",71.102,83.388,2.418,6.698,11.638,9.834,25.370,77,54,4.978,92.616,"94,9"
Lazio,,,,,,,,,,,,,,,
,235.125,118.939,"50,6",118.739,26.950,21,6.728,12.150,4.527,22.916,0,498,14.663,129.483,"55,1"
Liguria,,,,,,,,,,,,,,,
,60.048,45.612,"76,0",38.772,24.477,1.646,9,9.039,7.860,15.175,0,37,3.487,46.155,"76,9"
Lombardia,417.446,242.564,"58,1",217.336,177.706,10.089,6.762,49.892,28.751,72.745,6,1.963,28.131,256.952,"61,6"
