c1,c2,Genere,c4,c5,Età,c7,c8,c9,Cittadinanza,c11,Anzianità disoccupazione
Regione,,,,,,,,,,,
,Maschi,Femmine,Totale,15-29,30-54,55+,Totale,Italiana,Straniera,Totale,>=6mesi >=12mesi
Abruzzo,"41,9","58,1","100,0","24,8","57,8","17,4","100,0","87,6","12,4","100,0","34,5 30,1"
Basilicata,"45,3","54,7","100,0","26,8","55,5","17,7","100,0","93,7","6,3","100,0","45,0 40,4"
P.A. Bolzano,"48,5","51,5","100,0","29,4","51,3","19,3","100,0","60,8","39,2","100,0","17,6 10,6"
Calabria,"48,1","51,9","100,0","27,7","57,8","14,5","100,0","93,4","6,6","100,0","49,9 45,4"
Campania,"44,4","55,6","100,0","29,7","56,2","14,1","100,0","95,2","4,8","100,0","49,1 45,3"
Emilia-Romagna,"42,1","57,9","100,0","26,5","52,9","20,6","100,0","68,9","31,1","100,0","23,5 19,0"
Friuli-Venezia Giulia,"42,1","57,9","100,0","32,4","49,2","18,4","100,0","77,4","22,6","100,0","19,2 16,7"
Lazio,"43,2","56,8","100,0","27,9","55,4","16,7","100,0","84,5","15,5","100,0","31,2 23,6"
Liguria,"41,3","58,7","100,0","21,2","56,5","22,3","100,0","77,5","22,5","100,0","24,8 17,4"
Lombardia,"43,0","57,0","100,0","27,4","52,3","20,3","100,0","76,2","23,8","100,0","25,5 18,1"
Marche,"42,2","57,8","100,0","30,4","50,5","19,1","100,0","79,3","20,7","100,0","24,9 18,4"
Molise,"47,8","52,2","100,0","27,1","55,3","17,6","100,0","88,7","11,3","100,0","49,9 43,4"
Piemonte,"45,1","54,9","100,0","31,2","51,8","17,0","100,0","74,5","25,5","100,0","26,9 22,7"
Puglia,"46,0","54,0","100,0","33,8","52,3","13,9","100,0","94,7","5,3","100,0","42,1 37,5"
Sardegna,"48,7","51,3","100,0","30,4","52,9","16,7","100,0","95,0","5,0","100,0","44,3 39,9"
Sicilia,"49,6","50,4","100,0","30,4","56,3","13,3","100,0","94,7","5,3","100,0","44,1 41,2"
Toscana,"43,0","57,0","100,0","30,2","51,3","18,5","100,0","75,9","24,1","100,0","28,1 23,4"
P.A. Trento,"43,3","56,7","100,0","28,1","53,8","18,1","100,0","67,6","32,4","100,0","27,6 20,7"
Umbria,"40,8","59,2","100,0","28,9","53,0","18,1","100,0","74,9","25,1","100,0","20,4 17,0"
Valle d'Aosta,"42,0","58,0","100,0","25,6","54,6","19,8","100,0","77,5","22,5","100,0","30,7 19,1"
Veneto,"42,4","57,6","100,0","33,0","47,9","19,1","100,0","75,8","24,2","100,0","18,0 14,6"
Totale,"44,7","55,3","100,0","29,7","53,5","16,8","100,0","84,4","15,6","100,0","34,2 29,5"
