c1,c2,1,2,3,4,5,c8,c9,Valori % riga,c11,c12
,Totale,Reinserimento,Aggiornamento,Riqualificazione,Lavoro e,Ricollocazione,,,,,
,,,,,,,Percorso1 Percorso2,,Percorso3 Percorso4,,Percorso 5
,,lavorativo,(Upskilling),(Reskilling),inclusione,collettiva,,,,,
Individui raggiunti,3.745.845,1.877.618,920.894,798.891,141.322,7.120,"50,1",,"24,6",,"21,3 3,8"
Genere,valori % colonna,,,,,,,,,,
Maschi,,,,,,"44,7","51,4",,"25,0",,"19,5 3,8"
Femmine,"55,3","54,2","54,5","59,2","54,9","39,4","49,1",,"24,2",,"22,8 3,7"
,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,
Classe di età,,,,,,,,,,,
15-29,"29,7","29,1","30,7","32,6","15,5","2,3","49,2",,"25,4",,"23,4 2,0"
30-54,"53,5","54,5","51,1","52,0","64,0","62,6","51,0",,"23,5",,"20,7 4,5"
55+,"16,8","16,4","18,3","15,4","20,5","35,1","48,9",,"26,6",,"19,5 4,6"
,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,
Titolo di studio,,,,,,,,,,,
Fino alla licenza media,"46,8","35,5","52,0","62,4","74,3","26,6","38,1",,"27,3",,"28,4 6,0"
Qualifica prof.le,"6,6","7,4","6,4","5,1","5,1","7,9","56,5",,,"23,9","16,4 2,9"
Scuola secondaria superiore,"35,7","41,1","32,3","29,8","17,3","51,2","57,8",,,"22,3","17,8 1,8"
Laurea triennale,"5,7","8,1","5,1","1,5","1,6","6,3",,"71,1",,,"22,1 5,61,1"
Laurea specialistica/magistrale,"5,3","7,8","4,2","1,3","1,7","8,0",,"73,8",,,"19,5 5,21,2"
,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,
Cittadinanza,,,,,,,,,,,
Italiana,"84,4","86,2","80,4","86,7","73,3","97,9","51,2",,"23,4",,"21,9 3,3"
Straniera,"15,6","13,8","19,6","13,3","26,7","2,1","44,4",,"31,0",,"18,2 6,5"
,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,
Durata disoccupazione,,,,,,,,,,,
Meno di 12 mesi,"70,5","84,2","69,8","44,0","42,1","94,2","59,8",,,"24,3","13,3 2,3"
,,,,,,,"26,9","25,2",,"40,5","7,4"
