"Individui
raggiunti
(A)",c3,c4,"Individui
con almeno
una politica
(LEP E, F1,
F2, H, J, O)
(B)",c6,c7,"%
individui
con
almeno
una
politica sui
raggiunti
(B/A%)",c9,c10,c10,Individui con LEP dopo la presa in carico,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c36,"Individui con
Tirocinio da
CO",c39,c40,"Individui
con almeno
una politica
(SAP) o un
tirocino CO
(C)",c42,c43,c43,%,c45
,,,,,,,,,"LEP E Orient.
specialistico",,,"LEP F1
Accomp. al
lavoro",,,"LEP F2
Attivazione
tirocinio",,,,Dettaglio formazione,,,,,,,,,,,"LEP J -
Conciliazione
vita e lavoro",,,"LEP O -
Supporto
autoimpiego",,,,,,,,,,individui,
,,,,,,,,,,,,,,,,,,"C07 -
Formazione
non
generalista
incl.
competenze
digitali",C07 -,,"C11 -
Formazione
non
generalista
non incl.
competenze
digitali",,,"C12 -
Formazione
specifica su
competenze
digitali",,,"LEP H -
Avviamento a
formazione",LEP H -,,,,,,,,,,,,,,,con,
,,,,,,,,,,,,,,,,,,,Formazione,,,,,,,,,Avviamento a,,,,,,,,,,,,,,,almeno,
,,,,,,,,,,,,,,,,,,,non,,,,,,,,,formazione,,,,,,,,,,,,,,,una,
,,,,,,,,,,,,,,,,,,,generalista,,,,,,,,,,,,,,,,,,,,,,,,politica o,
,,,,,,,,,,,,,,,,,,,incl.,,,,,,,,,,,,,,,,,,,,,,,,un,
,,,,,,,,,,,,,,,,,,,competenze,,,,,,,,,,,,,,,,,,,,,,,,tirocinio,
,,,,,,,,,,,,,,,,,,,digitali,,,,,,,,,,,,,,,,,,,,,,,,sui,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raggiunti,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(C/A%),
,64.468,,,54.313,,,"84,2",,,42.894,,,30.089,,,14,,,1.478,,,786,,,1.600,,,3.818,,,0,,,2,,,3.974,,,55.095,,,"85,5",
,40.704,,,13.747,,,"33,8",,,8.469,,,3.165,,,0,,,3.211,,,1.524,,,2.804,,,7.497,,,0,,,113,,,1.748,,,15.519,,,"38,1",
,14.769,,,14.590,,,"98,8",,,1.588,,,14.574,,,21,,,15,,,756,,,336,,,945,,,0,,,24,,,304,,,14.599,,,"98,8",
,155.877,,,101.101,,,"64,9",,,99.340,,,53.130,,,2.750,,,5.347,,,4.834,,,4.308,,,14.313,,,0,,,3.246,,,5.984,,,104.878,,,"67,3",
,485.198,,,334.006,,,"68,8",,,319.110,,,102.715,,,7.798,,,123.770,,,229,,,14.209,,,137.730,,,778,,,2.084,,,24.925,,,342.680,,,"70,6",
,247.688,,,209.965,,,"84,8",,,199.838,,,162.217,,,8.166,,,29.559,,,6.995,,,52.956,,,86.182,,,1,,,1.818,,,15.016,,,212.331,,,"85,7",
,99.291,,,94.008,,,"94,7",,,72.719,,,85.072,,,2.607,,,6.918,,,12.052,,,10.486,,,26.467,,,78,,,55,,,5.184,,,94.332,,,"95,0",
,239.750,,,124.297,,,"51,8",,,123.594,,,28.666,,,22,,,7.172,,,12.922,,,6.244,,,25.732,,,0,,,522,,,15.271,,,135.113,,,"56,4",
,61.469,,,47.045,,,"76,5",,,39.906,,,25.666,,,1.778,,,7,,,9.353,,,8.199,,,15.734,,,0,,,41,,,3.724,,,47.593,,,"77,4",
,429.881,,,253.428,,,"59,0",,,226.948,,,184.408,,,11.549,,,6.916,,,52.382,,,29.123,,,76.011,,,6,,,2.033,,,29.957,,,268.578,,,"62,5",
,97.945,,,83.312,,,"85,1",,,45.928,,,74.657,,,2.425,,,3.553,,,2.748,,,3.252,,,9.120,,,0,,,1.142,,,9.673,,,84.808,,,"86,6",
,11.707,,,2.249,,,"19,2",,,836,,,18,,,3,,,1.087,,,167,,,373,,,1.590,,,1,,,0,,,835,,,3.040,,,"26,0",
,231.093,,,158.810,,,"68,7",,,150.628,,,81.698,,,19.111,,,40.372,,,5.001,,,9.362,,,50.987,,,1,,,47,,,22.618,,,161.459,,,"69,9",
,332.662,,,145.652,,,"43,8",,,75.144,,,97.180,,,461,,,18.924,,,13.278,,,4.536,,,36.282,,,4,,,6.549,,,19.330,,,160.026,,,"48,1",
,153.894,,,121.241,,,"78,8",,,120.015,,,50.260,,,4.049,,,19,,,5.744,,,4.873,,,10.434,,,1,,,48,,,9.515,,,123.232,,,"80,1",
,467.620,,,133.294,,,"28,5",,,125.517,,,18.072,,,109,,,13.379,,,4.097,,,6.614,,,23.248,,,2,,,204,,,22.299,,,154.496,,,"33,0",
,244.876,,,222.187,,,"90,7",,,203.571,,,164.131,,,8.964,,,25.484,,,31.594,,,15.268,,,63.433,,,4.358,,,3.093,,,13.968,,,223.109,,,"91,1",
,24.369,,,23.293,,,"95,6",,,9.697,,,20.968,,,199,,,1.033,,,2.622,,,1.903,,,5.439,,,308,,,63,,,627,,,23.318,,,"95,7",
,56.053,,,40.416,,,"72,1",,,39.327,,,21.734,,,1.548,,,325,,,5.107,,,3.690,,,7.929,,,0,,,8,,,4.730,,,41.830,,,"74,6",
,5.970,,,4.977,,,"83,4",,,3.719,,,3.328,,,220,,,176,,,352,,,238,,,925,,,22,,,18,,,513,,,5.059,,,"84,7",
,280.561,,,280.247,,,"99,9",,,280.119,,,270.907,,,13.521,,,8.409,,,40.716,,,18.150,,,59.606,,,1.962,,,284,,,29.666,,,280.319,,,"99,9",
,3.745.845,,,2.462.178,,,"65,7",,,2.188.907,,,1.492.655,,,85.315,,,297.154,,,213.259,,,198.524,,,663.422,,,7.522,,,21.394,,,239.861,,,2.551.414,,,"68,1",
