c1,c2,SFL,c4,c5,c6
,,,ADI,NASpI-DIsColl,
,,Domanda,,,Altri
,Totale,,Attivabili al,Domanda,
,,accolta e,,,disoccupati
,,,lavoro,presentata,
,,attiva,,,
Presi in carico con patto di servizio attivo,3.416.941,115.214,51.118,1.489.486,1.761.123
Genere,,,,,
Maschi,"44,2","40,2","40,2","45,7","43,3"
Femmine,"55,8","59,8","59,8","54,3","56,7"
Classi di età,,,,,
15-29,"29,7","26,7","10,4","25,5","34,0"
30-54,"53,1","57,1","85,3","55,7","49,8"
55+,"17,1","16,1","4,3","18,8","16,2"
Titolo di studio,,,,,
Fino alla licenza media,"46,9","64,1","74,3","42,7","48,4"
Qualifica professionale,"6,4","4,9","4,7","7,2","6,0"
Diploma istruzione secondaria superiore,"35,4","27,3","18,8","36,5","35,5"
Laurea triennale,"5,4","1,7","0,9","6,0","5,3"
Laurea specialistica/magistrale,"5,8","2,0","1,4","7,5","4,8"
Percorso GOL,,,,,
1 Reinserimento lavorativo,"48,5","8,5","10,9","72,7","31,7"
2 Aggiornamento,"24,0","19,9","18,3","21,6","26,4"
3 Riqualificazione,"23,5","65,4","57,5","4,4","35,9"
4 Lavoro e inclusione,"3,9","6,2","13,3","1,3","5,7"
5 Ricollocazione collettiva,"0,2","0,0","0,0","0,1","0,3"
Totale,"100,0","100,0","100,0","100,0","100,0"
