c1,c2,c3,c4,c5,c6,c7,Individui con LEP dopo la presa in carico,c9,c10,c11,c12,c13,%
,,,,,,,,,,,,,individui
,,,,,,,,,,,,,con
,,Individui,,,,,,,,,,Individui,
,,,% individui,,,,Dettaglio formazione,,,,,,almeno
,,con almeno,,,,,,,,,Individui,con almeno,
,,,con almeno,,,,,,,,,,una
,Individui,una politica,,,,,,,,,con,una politica,
,,,una politica,,,,C07 -  C11 -  C12 -,LEP H -,,,,,politica o
,raggiunti (A),"(LEP E, F1,",,LEP E,LEP F1,LEP F2,,,LEP J -,LEP O -,Tirocinio,(SAP) o un,
,,,sui raggiunti,,,,Formazione Formazione Formazione,Avviamento a,,,,,un
,,"F2, H, J, O)",,Orient.,Accomp. al,Attivazione,,,Conciliazione,Supporto,da CO,tirocinio,
,,,(B/A%),,,,non non specifica su,formazione,,,,,tirocinio
,,(B),,Special.co,lavoro,tirocinio,,,vita e lavoro,autoimpiego,,CO (C),
,,,,,,,generalista generalista competenze,,,,,,sui
,,,,,,,incl. non incl. digitali,,,,,,raggiunti
,,,,,,,competenze competenze,,,,,,(C/A%)
,,,,,,,digitali digitali,,,,,,
Abruzzo,66.528,56.452,"84,9",44.870,31.357,14,1.489 852 2.124,4.407,0,2,4.189,57.250,"86,1"
Basilicata,44.085,15.309,"34,7",8.707,3.805,0,3.297 1.578 3.939,8.705,0,126,1.866,17.135,"38,9"
P.A. Bolzano,15.301,15.117,"98,8",1.728,15.100,27,15 795 351,993,0,28,336,15.126,"98,9"
Calabria,163.148,108.211,"66,3",105.729,61.813,2.869,5.817 5.198 7.628,18.351,0,3.407,6.245,112.038,"68,7"
Campania,502.543,355.973,"70,8",340.164,123.948,7.918,131.452 251 17.587,148.313,900,2.520,25.846,364.589,"72,5"
Emilia-Romagna,257.367,218.167,"84,8",208.366,170.277,8.663,29.667 7.199 53.737,87.091,3,1.922,15.830,220.649,"85,7"
Friuli-Venezia Giulia,103.314,97.688,"94,6",75.896,88.679,2.813,7.145 12.315 11.760,28.018,84,60,5.509,98.013,"94,9"
Lazio,251.843,133.971,"53,2",132.780,31.715,24,7.723 13.504 7.954,28.569,0,558,15.850,144.997,"57,6"
Liguria,63.859,49.355,"77,3",41.542,27.684,1.969,22 9.586 8.399,16.123,0,43,4.025,49.918,"78,2"
Lombardia,479.047,273.668,"57,1",240.926,195.006,12.951,6.984 53.018 31.572,78.988,6,2.065,31.894,289.531,"60,4"
Marche,101.537,86.394,"85,1",48.939,76.933,3.799,4.114 2.877 3.470,9.971,1,1.166,10.154,87.787,"86,5"
Molise,12.973,2.463,"19,0",904,28,3,1.094 166 554,1.766,1,0,929,3.333,"25,7"
Piemonte,243.420,167.568,"68,8",158.708,88.307,20.547,42.024 5.387 11.411,54.555,1,49,24.068,170.195,"69,9"
Puglia,355.411,160.923,"45,3",83.191,103.658,482,20.331 14.196 11.982,45.905,5,11.643,20.538,176.003,"49,5"
Sardegna,161.429,129.151,"80,0",127.878,53.426,4.767,23 6.485 6.703,12.805,1,157,10.536,131.128,"81,2"
Sicilia,501.010,149.903,"29,9",139.418,22.997,135,13.483 4.194 12.275,28.893,2,215,24.015,172.422,"34,4"
Toscana,261.538,234.803,"89,8",213.636,172.328,9.494,31.687 33.657 16.773,72.076,4.928,3.232,14.777,235.770,"90,1"
P.A. Trento,25.371,24.322,"95,9",10.237,21.970,231,1.216 2.892 2.042,5.981,338,97,697,24.345,"96,0"
Umbria,58.465,42.778,"73,2",41.377,23.591,2.030,347 5.751 4.298,9.081,0,8,5.040,44.006,"75,3"
Valle d'Aosta,6.327,5.382,"85,1",4.142,3.503,260,223 351 256,982,26,26,554,5.460,"86,3"
Veneto,291.815,291.535,"99,9",291.411,280.339,13.739,8.869 42.208 19.851,62.902,2.328,317,31.021,291.595,"99,9"
Totale,3.966.331,2.619.133,"66,0",2.320.549,1.596.464,92.735,317.022 222.460 234.666,724.475,8.624,27.641,253.919,2.711.290,"68,4"
