regione;anno;trimestre;trimestre_roman;flusso;rapporti;lavoratori;media;file_origine
Abruzzo;2017;1;I;avviamenti;48519.0;40644.0;1.1937555358724534;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;1;I;cessazioni;34400.0;27914.0;1.2323565236082252;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;1;I;avviamenti;34160.0;27866.0;1.225866647527453;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;1;I;cessazioni;16853.0;13761.0;1.2246929728944118;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;1;I;avviamenti;25483.0;23263.0;1.0954305119718006;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;1;I;cessazioni;26839.0;24941.0;1.0760995950443046;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;1;I;avviamenti;78233.0;65257.0;1.1988445683987925;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;1;I;cessazioni;51758.0;41306.0;1.2530382995206508;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;1;I;avviamenti;184358.0;148192.0;1.2440482617145325;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;1;I;cessazioni;128683.0;96974.0;1.3269845525604802;Allegato-IV-Trimestre-2021.xlsx
Emilia Romagna;2017;1;I;avviamenti;210985.0;174928.0;1.2061248056343181;Allegato-IV-Trimestre-2021.xlsx
Emilia Romagna;2017;1;I;cessazioni;129316.0;103649.0;1.2476338411369141;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;1;I;avviamenti;37437.0;32960.0;1.1358313106796116;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;1;I;cessazioni;25105.0;21646.0;1.1597985771043149;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;1;I;avviamenti;351951.0;197777.0;1.779534526259373;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;1;I;cessazioni;299553.0;154786.0;1.9352719238173994;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;1;I;avviamenti;48008.0;41388.0;1.1599497438871171;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;1;I;cessazioni;36344.0;30919.0;1.1754584559655874;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;1;I;avviamenti;367707.0;286925.0;1.2815439574801777;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;1;I;cessazioni;288758.0;219435.0;1.315915874860437;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;1;I;avviamenti;52578.0;45221.0;1.1626899007098472;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;1;I;cessazioni;33703.0;28308.0;1.190582167585135;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;1;I;avviamenti;9209.0;8005.0;1.1504059962523423;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;1;I;cessazioni;5853.0;4978.0;1.1757734029730815;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;1;I;avviamenti;1065.0;999.0;1.0660660660660661;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;1;I;cessazioni;849.0;792.0;1.071969696969697;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;1;I;avviamenti;119083.0;102482.0;1.1619894225327374;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;1;I;cessazioni;86158.0;73318.0;1.1751275266646664;Allegato-IV-Trimestre-2021.xlsx
Puglia;2017;1;I;avviamenti;248635.0;181285.0;1.3715144661720495;Allegato-IV-Trimestre-2021.xlsx
Puglia;2017;1;I;cessazioni;155685.0;108856.0;1.4301921804953333;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;1;I;avviamenti;54446.0;44681.0;1.2185492715024284;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;1;I;cessazioni;37827.0;29523.0;1.28127222843207;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;1;I;avviamenti;181402.0;146895.0;1.2349092889478879;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;1;I;cessazioni;115234.0;85796.0;1.3431162291948342;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;1;I;avviamenti;150162.0;123002.0;1.220809417733045;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;1;I;cessazioni;103808.0;81739.0;1.2699935159470999;Allegato-IV-Trimestre-2021.xlsx
Totale (d);2017;1;I;avviamenti;2428038.0;1852801.0;1.310468852294445;Allegato-IV-Trimestre-2021.xlsx
Totale (d);2017;1;I;cessazioni;1745009.0;1268692.0;1.375439428955176;Allegato-IV-Trimestre-2021.xlsx
Trento;2017;1;I;avviamenti;22057.0;18694.0;1.179897293249171;Allegato-IV-Trimestre-2021.xlsx
Trento;2017;1;I;cessazioni;24858.0;21640.0;1.148706099815157;Allegato-IV-Trimestre-2021.xlsx
Umbria;2017;1;I;avviamenti;31943.0;25822.0;1.2370459298272791;Allegato-IV-Trimestre-2021.xlsx
Umbria;2017;1;I;cessazioni;21430.0;16919.0;1.2666233228914239;Allegato-IV-Trimestre-2021.xlsx
Valle d’Aosta/Vallée d’Aoste;2017;1;I;avviamenti;4611.0;3810.0;1.2102362204724408;Allegato-IV-Trimestre-2021.xlsx
Valle d’Aosta/Vallée d’Aoste;2017;1;I;cessazioni;4837.0;4036.0;1.1984638255698712;Allegato-IV-Trimestre-2021.xlsx
Veneto;2017;1;I;avviamenti;166006.0;142375.0;1.1659771729587358;Allegato-IV-Trimestre-2021.xlsx
Veneto;2017;1;I;cessazioni;117158.0;98482.0;1.1896387157043926;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;2;II;avviamenti;70850.0;55286.0;1.281517924971964;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;2;II;cessazioni;55019.0;41432.0;1.327934929523074;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;2;II;avviamenti;47261.0;34884.0;1.354804494897374;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;2;II;cessazioni;40520.0;28122.0;1.4408648033568026;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;2;II;avviamenti;47311.0;42537.0;1.1122317041634342;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;2;II;cessazioni;30726.0;27873.0;1.1023571197933484;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;2;II;avviamenti;91924.0;76796.0;1.196989426532632;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;2;II;cessazioni;65735.0;49273.0;1.3340977817465955;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;2;II;avviamenti;223936.0;167920.0;1.333587422582182;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;2;II;cessazioni;192396.0;134581.0;1.4295925873637438;Allegato-IV-Trimestre-2021.xlsx
