regione;anno;trimestre;trimestre_roman;flusso;variabile;valore;file_origine
Abruzzo;2017;1;I;avviamenti;rapporti;48519.0;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;1;I;avviamenti;lavoratori;40644.0;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;1;I;avviamenti;media;1.1937555358724534;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;1;I;cessazioni;rapporti;34400.0;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;1;I;cessazioni;lavoratori;27914.0;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;1;I;cessazioni;media;1.2323565236082252;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;1;I;avviamenti;rapporti;34160.0;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;1;I;avviamenti;lavoratori;27866.0;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;1;I;avviamenti;media;1.225866647527453;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;1;I;cessazioni;rapporti;16853.0;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;1;I;cessazioni;lavoratori;13761.0;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;1;I;cessazioni;media;1.2246929728944118;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;1;I;avviamenti;rapporti;25483.0;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;1;I;avviamenti;lavoratori;23263.0;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;1;I;avviamenti;media;1.0954305119718006;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;1;I;cessazioni;rapporti;26839.0;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;1;I;cessazioni;lavoratori;24941.0;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;1;I;cessazioni;media;1.0760995950443046;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;1;I;avviamenti;rapporti;78233.0;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;1;I;avviamenti;lavoratori;65257.0;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;1;I;avviamenti;media;1.1988445683987925;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;1;I;cessazioni;rapporti;51758.0;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;1;I;cessazioni;lavoratori;41306.0;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;1;I;cessazioni;media;1.2530382995206508;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;1;I;avviamenti;rapporti;184358.0;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;1;I;avviamenti;lavoratori;148192.0;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;1;I;avviamenti;media;1.2440482617145325;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;1;I;cessazioni;rapporti;128683.0;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;1;I;cessazioni;lavoratori;96974.0;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;1;I;cessazioni;media;1.3269845525604802;Allegato-IV-Trimestre-2021.xlsx
Emilia Romagna;2017;1;I;avviamenti;rapporti;210985.0;Allegato-IV-Trimestre-2021.xlsx
Emilia Romagna;2017;1;I;avviamenti;lavoratori;174928.0;Allegato-IV-Trimestre-2021.xlsx
Emilia Romagna;2017;1;I;avviamenti;media;1.2061248056343181;Allegato-IV-Trimestre-2021.xlsx
Emilia Romagna;2017;1;I;cessazioni;rapporti;129316.0;Allegato-IV-Trimestre-2021.xlsx
Emilia Romagna;2017;1;I;cessazioni;lavoratori;103649.0;Allegato-IV-Trimestre-2021.xlsx
Emilia Romagna;2017;1;I;cessazioni;media;1.2476338411369141;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;1;I;avviamenti;rapporti;37437.0;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;1;I;avviamenti;lavoratori;32960.0;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;1;I;avviamenti;media;1.1358313106796116;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;1;I;cessazioni;rapporti;25105.0;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;1;I;cessazioni;lavoratori;21646.0;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;1;I;cessazioni;media;1.1597985771043149;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;1;I;avviamenti;rapporti;351951.0;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;1;I;avviamenti;lavoratori;197777.0;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;1;I;avviamenti;media;1.779534526259373;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;1;I;cessazioni;rapporti;299553.0;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;1;I;cessazioni;lavoratori;154786.0;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;1;I;cessazioni;media;1.9352719238173994;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;1;I;avviamenti;rapporti;48008.0;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;1;I;avviamenti;lavoratori;41388.0;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;1;I;avviamenti;media;1.1599497438871171;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;1;I;cessazioni;rapporti;36344.0;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;1;I;cessazioni;lavoratori;30919.0;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;1;I;cessazioni;media;1.1754584559655874;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;1;I;avviamenti;rapporti;367707.0;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;1;I;avviamenti;lavoratori;286925.0;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;1;I;avviamenti;media;1.2815439574801777;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;1;I;cessazioni;rapporti;288758.0;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;1;I;cessazioni;lavoratori;219435.0;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;1;I;cessazioni;media;1.315915874860437;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;1;I;avviamenti;rapporti;52578.0;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;1;I;avviamenti;lavoratori;45221.0;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;1;I;avviamenti;media;1.1626899007098472;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;1;I;cessazioni;rapporti;33703.0;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;1;I;cessazioni;lavoratori;28308.0;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;1;I;cessazioni;media;1.190582167585135;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;1;I;avviamenti;rapporti;9209.0;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;1;I;avviamenti;lavoratori;8005.0;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;1;I;avviamenti;media;1.1504059962523423;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;1;I;cessazioni;rapporti;5853.0;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;1;I;cessazioni;lavoratori;4978.0;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;1;I;cessazioni;media;1.1757734029730815;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;1;I;avviamenti;rapporti;1065.0;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;1;I;avviamenti;lavoratori;999.0;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;1;I;avviamenti;media;1.0660660660660661;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;1;I;cessazioni;rapporti;849.0;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;1;I;cessazioni;lavoratori;792.0;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;1;I;cessazioni;media;1.071969696969697;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;1;I;avviamenti;rapporti;119083.0;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;1;I;avviamenti;lavoratori;102482.0;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;1;I;avviamenti;media;1.1619894225327374;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;1;I;cessazioni;rapporti;86158.0;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;1;I;cessazioni;lavoratori;73318.0;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;1;I;cessazioni;media;1.1751275266646664;Allegato-IV-Trimestre-2021.xlsx
Puglia;2017;1;I;avviamenti;rapporti;248635.0;Allegato-IV-Trimestre-2021.xlsx
Puglia;2017;1;I;avviamenti;lavoratori;181285.0;Allegato-IV-Trimestre-2021.xlsx
Puglia;2017;1;I;avviamenti;media;1.3715144661720495;Allegato-IV-Trimestre-2021.xlsx
Puglia;2017;1;I;cessazioni;rapporti;155685.0;Allegato-IV-Trimestre-2021.xlsx
Puglia;2017;1;I;cessazioni;lavoratori;108856.0;Allegato-IV-Trimestre-2021.xlsx
Puglia;2017;1;I;cessazioni;media;1.4301921804953333;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;1;I;avviamenti;rapporti;54446.0;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;1;I;avviamenti;lavoratori;44681.0;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;1;I;avviamenti;media;1.2185492715024284;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;1;I;cessazioni;rapporti;37827.0;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;1;I;cessazioni;lavoratori;29523.0;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;1;I;cessazioni;media;1.28127222843207;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;1;I;avviamenti;rapporti;181402.0;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;1;I;avviamenti;lavoratori;146895.0;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;1;I;avviamenti;media;1.2349092889478879;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;1;I;cessazioni;rapporti;115234.0;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;1;I;cessazioni;lavoratori;85796.0;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;1;I;cessazioni;media;1.3431162291948342;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;1;I;avviamenti;rapporti;150162.0;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;1;I;avviamenti;lavoratori;123002.0;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;1;I;avviamenti;media;1.220809417733045;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;1;I;cessazioni;rapporti;103808.0;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;1;I;cessazioni;lavoratori;81739.0;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;1;I;cessazioni;media;1.2699935159470999;Allegato-IV-Trimestre-2021.xlsx
Totale (d);2017;1;I;avviamenti;rapporti;2428038.0;Allegato-IV-Trimestre-2021.xlsx
Totale (d);2017;1;I;avviamenti;lavoratori;1852801.0;Allegato-IV-Trimestre-2021.xlsx
Totale (d);2017;1;I;avviamenti;media;1.310468852294445;Allegato-IV-Trimestre-2021.xlsx
Totale (d);2017;1;I;cessazioni;rapporti;1745009.0;Allegato-IV-Trimestre-2021.xlsx
