file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,B,3,Presi in carico in GOL per Regione e per alcune caratteristiche anagrafiche (v.% riga),8,Abruzzo,0,Maschi Femmine Totale 15-29 30-54 55+ Totale Italiana Straniera Totale >=6mesi >=12mesi,"41,3",41.3,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,B,3,Presi in carico in GOL per Regione e per alcune caratteristiche anagrafiche (v.% riga),8,Abruzzo,1,Maschi Femmine Totale 15-29 30-54 55+ Totale Italiana Straniera Totale >=6mesi >=12mesi,"58,7",58.7,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,B,3,Presi in carico in GOL per Regione e per alcune caratteristiche anagrafiche (v.% riga),8,Abruzzo,2,Maschi Femmine Totale 15-29 30-54 55+ Totale Italiana Straniera Totale >=6mesi >=12mesi,"100,0",100.0,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,B,3,Presi in carico in GOL per Regione e per alcune caratteristiche anagrafiche (v.% riga),8,Abruzzo,3,Maschi Femmine Totale 15-29 30-54 55+ Totale Italiana Straniera Totale >=6mesi >=12mesi,"22,8",22.8,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,B,3,Presi in carico in GOL per Regione e per alcune caratteristiche anagrafiche (v.% riga),8,Abruzzo,4,Maschi Femmine Totale 15-29 30-54 55+ Totale Italiana Straniera Totale >=6mesi >=12mesi,"58,4",58.4,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,B,3,Presi in carico in GOL per Regione e per alcune caratteristiche anagrafiche (v.% riga),8,Abruzzo,5,Maschi Femmine Totale 15-29 30-54 55+ Totale Italiana Straniera Totale >=6mesi >=12mesi,"18,8",18.8,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,B,3,Presi in carico in GOL per Regione e per alcune caratteristiche anagrafiche (v.% riga),8,Abruzzo,6,Maschi Femmine Totale 15-29 30-54 55+ Totale Italiana Straniera Totale >=6mesi >=12mesi,"100,0",100.0,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,B,3,Presi in carico in GOL per Regione e per alcune caratteristiche anagrafiche (v.% riga),8,Abruzzo,7,Maschi Femmine Totale 15-29 30-54 55+ Totale Italiana Straniera Totale >=6mesi >=12mesi,"89,0",89.0,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,B,3,Presi in carico in GOL per Regione e per alcune caratteristiche anagrafiche (v.% riga),8,Abruzzo,8,Maschi Femmine Totale 15-29 30-54 55+ Totale Italiana Straniera Totale >=6mesi >=12mesi,"11,0",11.0,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,B,3,Presi in carico in GOL per Regione e per alcune caratteristiche anagrafiche (v.% riga),8,Abruzzo,9,Maschi Femmine Totale 15-29 30-54 55+ Totale Italiana Straniera Totale >=6mesi >=12mesi,"100,0",100.0,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,B,3,Presi in carico in GOL per Regione e per alcune caratteristiche anagrafiche (v.% riga),8,Abruzzo,10,Maschi Femmine Totale 15-29 30-54 55+ Totale Italiana Straniera Totale >=6mesi >=12mesi,"50,3",50.3,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,B,3,Presi in carico in GOL per Regione e per alcune caratteristiche anagrafiche (v.% riga),8,Abruzzo,11,Maschi Femmine Totale 15-29 30-54 55+ Totale Italiana Straniera Totale >=6mesi >=12mesi,"44,2",44.2,percent,ok
