file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Abruzzo,0,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),6.797,6797,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Abruzzo,1,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),1.256,1256,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Abruzzo,2,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"18,5",18.5,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Abruzzo,3,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),427,427,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Abruzzo,4,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"6,3",6.3,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Abruzzo,5,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),829,829,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Abruzzo,6,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"12,2",12.2,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Basilicata,0,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),5.185,5185,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Basilicata,1,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),737,737,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Basilicata,2,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"14,2",14.2,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Basilicata,3,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),213,213,count,ok
