file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Maschi,0,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),188.931,188931,count,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Maschi,1,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),40.848,40848,count,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Maschi,2,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),"21,6",21.6,percent,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Maschi,3,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),10.928,10928,count,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Maschi,4,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),"5,8",5.8,percent,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Maschi,5,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),29.920,29920,count,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Maschi,6,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),"15,8",15.8,percent,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Femmine,0,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),246.068,246068,count,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Femmine,1,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),48.871,48871,count,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Femmine,2,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),"19,9",19.9,percent,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Femmine,3,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),15.395,15395,count,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Femmine,4,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),"6,3",6.3,percent,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Femmine,5,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),33.476,33476,count,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Femmine,6,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),"13,6",13.6,percent,best_effort
