file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Abruzzo,0,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,2.750,2750,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Abruzzo,1,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,406,406,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Abruzzo,2,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,2.344,2344,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Abruzzo,3,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,778,778,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Abruzzo,4,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,107,107,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Abruzzo,5,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,671,671,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Basilicata,0,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,78,78,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Basilicata,1,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,9,9,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Basilicata,2,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,69,69,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Basilicata,3,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,8,8,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Basilicata,4,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,0,0,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Basilicata,5,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,8,8,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Calabria,0,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,857,857,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Calabria,1,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,29,29,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Calabria,2,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,828,828,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Calabria,3,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,0,0,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Calabria,4,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,0,0,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Calabria,5,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,0,0,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Campania,0,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,20.049,20049,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Campania,1,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,19.131,19131,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Campania,2,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,918,918,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Campania,3,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,3.683,3683,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Campania,4,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,3.425,3425,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Campania,5,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,258,258,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Emilia-Romagna,0,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,7.900,7900,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Emilia-Romagna,1,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,749,749,count,best_effort
2023/ANPAL_Nota_12-2023_Focus166_dati_31-10-2023.pdf,ANPAL,2023-10-31,K,2.3,Numero di Beneficiari GOL coinvolti in attività di formazione dall'avvio del Programma al 30 settembre 2023,21,Emilia-Romagna,2,FORMAZIONE AVVIATA FORMAZIONE CONCLUSA CON SUCCESSO | di cui: di cui: | non inclusiva del,7.151,7151,count,best_effort
