tema,caption_num,col_index,era,variabile,caratteristica,modalita,percorso,unita,confidenza,header_modal,caption_title_modal,n_rows,n_header_variants,col_token
A1,2,0,pre_2025,presi_in_carico_ass,,,1_reinserimento_lavorativo,count,high,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e | Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v% riga),148,6,lavorativo
A1,2,1,pre_2025,presi_in_carico_ass,,,4_lavoro_inclusione,count,medium,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e | Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v% riga),148,6,inclusione
A1,2,2,pre_2025,presi_in_carico_ass,,,3_riqualificazione_reskilling,count,high,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e | Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v% riga),148,6,
A1,2,3,pre_2025,presi_in_carico_ass,,,4_lavoro_inclusione,count,high,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e | Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v% riga),148,6,
A1,2,4,pre_2025,presi_in_carico_pc,,,1_reinserimento_lavorativo,percentage_row,high,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e | Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v% riga),148,6,
A1,2,5,pre_2025,presi_in_carico_pc,,,2_aggiornamento_upskilling,percentage_row,high,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e | Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v% riga),148,6,
A1,2,6,pre_2025,presi_in_carico_pc,,,3_riqualificazione_reskilling,percentage_row,high,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e | Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v% riga),148,6,
A1,2,7,pre_2025,presi_in_carico_pc,,,4_lavoro_inclusione,percentage_row,high,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e | Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v% riga),148,6,
A1,2,8,pre_2025,raw_col_8,,,,unknown,low,1. 2. 3. 4. Totale 1. 2. 3. 4. Totale | Reinserimento Aggiornamento Riqualificazione Lavoro e Reinserimento Aggiornamento Riqualificazione Lavoro e | lavorativo (upskilling) (reskilling) inclusione lavorativo (upskilling) (reskilling) inclusione,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v% riga),34,2,
A1,2,9,pre_2025,raw_col_9,,,,unknown,low,1. 2. 3. 4. Totale 1. 2. 3. 4. Totale | Reinserimento Aggiornamento Riqualificazione Lavoro e Reinserimento Aggiornamento Riqualificazione Lavoro e | lavorativo (upskilling) (reskilling) inclusione lavorativo (upskilling) (reskilling) inclusione,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v% riga),22,2,
