report_id,data_riferimento,regione,2022,2023,2024,2025,totale,incidenza_pc,individui
INAPP_Focus-GOL_12-2025,2025-09-30,Abruzzo,9628,25213,24115,15568,74524,20.9,67825
INAPP_Focus-GOL_12-2025,2025-09-30,Basilicata,6428,12917,18740,14311,52396,27.3,44985
INAPP_Focus-GOL_12-2025,2025-09-30,P.A. Bolzano,2423,5874,5607,3649,17553,20.8,15637
INAPP_Focus-GOL_12-2025,2025-09-30,Calabria,28182,48688,63267,44314,184451,24,166364
INAPP_Focus-GOL_12-2025,2025-09-30,Campania,91888,166285,208011,114621,580805,19.7,514158
INAPP_Focus-GOL_12-2025,2025-09-30,Emilia-Romagna,44389,84011,89367,69669,287436,24.2,262693
INAPP_Focus-GOL_12-2025,2025-09-30,Friuli-Venezia Giulia,21681,39322,37706,25552,124261,20.6,106216
INAPP_Focus-GOL_12-2025,2025-09-30,Lazio,61665,78946,75306,59054,274971,21.5,260015
INAPP_Focus-GOL_12-2025,2025-09-30,Liguria,11838,21182,23904,14186,71110,19.9,65533
INAPP_Focus-GOL_12-2025,2025-09-30,Lombardia,77428,137350,164695,179385,558858,32.1,501281
INAPP_Focus-GOL_12-2025,2025-09-30,Marche,18559,36225,39253,24968,119005,21,103865
INAPP_Focus-GOL_12-2025,2025-09-30,Molise,1700,2652,4570,5866,14788,39.7,13411
INAPP_Focus-GOL_12-2025,2025-09-30,Piemonte,46550,73583,80764,77696,278593,27.9,250576
INAPP_Focus-GOL_12-2025,2025-09-30,Puglia,70963,102581,118463,100555,392562,25.6,367197
INAPP_Focus-GOL_12-2025,2025-09-30,Sardegna,40027,58349,53004,35789,187169,19.1,164869
INAPP_Focus-GOL_12-2025,2025-09-30,Sicilia,65508,166012,194154,154833,580507,26.7,516390
INAPP_Focus-GOL_12-2025,2025-09-30,Toscana,45124,84825,103549,85089,318587,26.7,268650
INAPP_Focus-GOL_12-2025,2025-09-30,P.A. Trento,4892,8030,8091,6536,27549,23.7,26080
INAPP_Focus-GOL_12-2025,2025-09-30,Umbria,11026,20278,21309,16373,68986,23.7,60323
INAPP_Focus-GOL_12-2025,2025-09-30,Veneto,40691,116439,111563,84162,352855,23.9,305355
INAPP_Focus-GOL_12-2025,2025-09-30,Totale,701895,1290696,1447497,1134431,4574519,24.8,4088044
INAPP_Focus-GOL_13-2025,2025-10-31,Abruzzo,9609,25223,24107,17517,76456,22.9,69284
INAPP_Focus-GOL_13-2025,2025-10-31,Basilicata,6398,12866,18741,16084,54089,29.7,46133
INAPP_Focus-GOL_13-2025,2025-10-31,P.A. Bolzano,2422,5871,5603,4107,18003,22.8,15980
INAPP_Focus-GOL_13-2025,2025-10-31,Calabria,28565,48854,63234,50840,191493,26.5,171130
INAPP_Focus-GOL_13-2025,2025-10-31,Campania,91706,166106,207936,134821,600569,22.4,529316
INAPP_Focus-GOL_13-2025,2025-10-31,Emilia-Romagna,44377,84012,89383,78887,296659,26.6,269603
INAPP_Focus-GOL_13-2025,2025-10-31,Friuli-Venezia Giulia,21632,39287,37703,28505,127127,22.4,108261
INAPP_Focus-GOL_13-2025,2025-10-31,Lazio,61636,78929,75292,71088,286945,24.8,270347
INAPP_Focus-GOL_13-2025,2025-10-31,Liguria,11844,21184,23944,15941,72913,21.9,66992
INAPP_Focus-GOL_13-2025,2025-10-31,Lombardia,77288,137162,164530,204220,583200,35,519890
INAPP_Focus-GOL_13-2025,2025-10-31,Marche,18534,36185,39198,29195,123112,23.7,106638
INAPP_Focus-GOL_13-2025,2025-10-31,Molise,1690,2647,4571,6482,15390,42.1,13896
INAPP_Focus-GOL_13-2025,2025-10-31,Piemonte,46443,73547,80725,88120,288835,30.5,258697
INAPP_Focus-GOL_13-2025,2025-10-31,Puglia,70880,102505,118448,114994,406827,28.3,379687
INAPP_Focus-GOL_13-2025,2025-10-31,Sardegna,41976,58756,52862,41645,195239,21.3,168953
INAPP_Focus-GOL_13-2025,2025-10-31,Sicilia,65405,165585,194020,178649,603659,29.6,532644
INAPP_Focus-GOL_13-2025,2025-10-31,Toscana,45120,84789,103476,96952,330337,29.3,277036
INAPP_Focus-GOL_13-2025,2025-10-31,P.A. Trento,4919,8100,8232,7686,28937,26.6,26984
INAPP_Focus-GOL_13-2025,2025-10-31,Umbria,11099,20343,21296,19081,71819,26.6,62308
INAPP_Focus-GOL_13-2025,2025-10-31,Veneto,40825,116595,111558,94802,363780,26.1,312907
INAPP_Focus-GOL_13-2025,2025-10-31,Totale,703681,1290481,1446917,1302208,4743287,27.5,4213590
INAPP_Focus-GOL_16-2025,2025-11-30,Abruzzo,9600,25219,24096,19401,78316,24.8,70730
INAPP_Focus-GOL_16-2025,2025-11-30,Basilicata,6368,12822,18726,17653,55569,31.8,46994
INAPP_Focus-GOL_16-2025,2025-11-30,P.A. Bolzano,2420,5869,5602,4479,18370,24.4,16241
INAPP_Focus-GOL_16-2025,2025-11-30,Calabria,28512,48868,63188,56175,196743,28.6,174974
INAPP_Focus-GOL_16-2025,2025-11-30,Campania,91414,165426,207683,154771,619294,25,542557
INAPP_Focus-GOL_16-2025,2025-11-30,Emilia-Romagna,44368,84016,89393,88411,306188,28.9,276849
INAPP_Focus-GOL_16-2025,2025-11-30,Friuli-Venezia Giulia,21588,39286,37698,31351,129923,24.1,110024
INAPP_Focus-GOL_16-2025,2025-11-30,Lazio,61594,78897,75283,82869,298643,27.7,280444
INAPP_Focus-GOL_16-2025,2025-11-30,Liguria,11875,21278,24073,17835,75061,23.8,68763
INAPP_Focus-GOL_16-2025,2025-11-30,Lombardia,77091,136981,164374,226280,604726,37.4,535803
INAPP_Focus-GOL_16-2025,2025-11-30,Marche,18619,36317,39348,33163,127447,26,109505
INAPP_Focus-GOL_16-2025,2025-11-30,Molise,1688,2644,4566,7357,16255,45.3,14608
INAPP_Focus-GOL_16-2025,2025-11-30,Piemonte,46360,73518,80696,98714,299288,33,266958
INAPP_Focus-GOL_16-2025,2025-11-30,Puglia,70951,102584,118517,128730,420782,30.6,391092
INAPP_Focus-GOL_16-2025,2025-11-30,Sardegna,41878,58545,52665,49333,202421,24.4,173242
INAPP_Focus-GOL_16-2025,2025-11-30,Sicilia,65269,165232,193864,204210,628575,32.5,548948
INAPP_Focus-GOL_16-2025,2025-11-30,Toscana,45070,84823,103900,109029,342822,31.8,284736
INAPP_Focus-GOL_16-2025,2025-11-30,P.A. Trento,4926,8162,8404,8657,30149,28.7,27707
INAPP_Focus-GOL_16-2025,2025-11-30,Umbria,11078,20318,21248,21734,74378,29.2,64150
INAPP_Focus-GOL_16-2025,2025-11-30,Veneto,40810,116572,111534,104383,373299,28,319714
INAPP_Focus-GOL_16-2025,2025-11-30,Totale,702792,1289316,1446918,1467465,4906491,29.9,4331220
INAPP_Focus-GOL_17-2025,2025-12-31,Abruzzo,9585,25210,24190,20946,79931,26.2,71929
INAPP_Focus-GOL_17-2025,2025-12-31,Basilicata,6311,12748,18701,18973,56733,33.4,47703
INAPP_Focus-GOL_17-2025,2025-12-31,P.A. Bolzano,2420,5868,5604,4832,18724,25.8,16514
INAPP_Focus-GOL_17-2025,2025-12-31,Calabria,29084,49699,63383,59333,201499,29.4,178746
INAPP_Focus-GOL_17-2025,2025-12-31,Campania,91061,164641,207304,174145,637151,27.3,554450
INAPP_Focus-GOL_17-2025,2025-12-31,Emilia-Romagna,44353,83998,89383,94894,312628,30.4,281586
INAPP_Focus-GOL_17-2025,2025-12-31,Friuli-Venezia Giulia,21547,39253,37691,33819,132310,25.6,111538
INAPP_Focus-GOL_17-2025,2025-12-31,Lazio,61540,78848,75267,93919,309574,30.3,289903
INAPP_Focus-GOL_17-2025,2025-12-31,Liguria,11873,21301,24104,19373,76651,25.3,69977
INAPP_Focus-GOL_17-2025,2025-12-31,Lombardia,76875,136796,164199,242903,620773,39.1,547768
INAPP_Focus-GOL_17-2025,2025-12-31,Marche,18604,36245,39294,36193,130336,27.8,111440
INAPP_Focus-GOL_17-2025,2025-12-31,Molise,1683,2639,4563,8035,16920,47.5,15188
INAPP_Focus-GOL_17-2025,2025-12-31,Piemonte,46295,73483,80663,107616,308057,34.9,273770
INAPP_Focus-GOL_17-2025,2025-12-31,Puglia,70869,102424,118423,141134,432850,32.6,400901
INAPP_Focus-GOL_17-2025,2025-12-31,Sardegna,41431,58302,52484,55556,207773,26.7,176814
INAPP_Focus-GOL_17-2025,2025-12-31,Sicilia,66213,165273,193564,223476,648526,34.5,561914
INAPP_Focus-GOL_17-2025,2025-12-31,Toscana,44988,84698,103852,118046,351584,33.6,290131
INAPP_Focus-GOL_17-2025,2025-12-31,P.A. Trento,4927,8170,8405,9330,30832,30.3,28213
INAPP_Focus-GOL_17-2025,2025-12-31,Umbria,11057,20290,21198,23700,76245,31.1,65465
INAPP_Focus-GOL_17-2025,2025-12-31,Veneto,40788,116534,111477,112190,380989,29.4,325161
INAPP_Focus-GOL_17-2025,2025-12-31,Totale,702815,1288355,1445807,1601557,5038534,31.8,4426443
INAPP_Focus-GOL_3-2025,2025-01-31,Abruzzo,9711,25277,24252,2444,61684,4,57185
