report_id,data_riferimento,regione,perc1_ass,perc2_ass,perc3_ass,perc4_ass,perc5_ass,perc1_pc,perc2_pc,perc3_pc,perc4_pc,perc5_pc
INAPP_Focus-GOL_1-2025,2024-06-30,Abruzzo,27641,7201,9633,494,0,61.5,16,21.4,1.1,0
INAPP_Focus-GOL_1-2025,2024-06-30,Basilicata,10355,5756,9807,271,4,39.5,22,37.4,1,0
INAPP_Focus-GOL_1-2025,2024-06-30,P.A. Bolzano,7733,2588,480,621,0,67.7,22.7,4.2,5.4,0
INAPP_Focus-GOL_1-2025,2024-06-30,Calabria,44368,26402,32738,2731,0,41.8,24.9,30.8,2.6,0
INAPP_Focus-GOL_1-2025,2024-06-30,Campania,119229,88545,130911,12528,465,33.9,25.2,37.2,3.6,0.1
INAPP_Focus-GOL_1-2025,2024-06-30,Emilia-Romagna,112151,36912,14260,10626,7,64.5,21.2,8.2,6.1,0
INAPP_Focus-GOL_1-2025,2024-06-30,Friuli-Venezia Giulia,44039,18657,6396,1895,113,61.9,26.2,9,2.7,0.2
INAPP_Focus-GOL_1-2025,2024-06-30,Lazio,108870,37257,31448,1765,4,60.7,20.8,17.5,1,0
INAPP_Focus-GOL_1-2025,2024-06-30,Liguria,26807,7138,6598,2106,0,62.9,16.7,15.5,4.9,0
INAPP_Focus-GOL_1-2025,2024-06-30,Lombardia,153649,90287,40130,13300,14,51.7,30.4,13.5,4.5,0
INAPP_Focus-GOL_1-2025,2024-06-30,Marche,53199,14126,6812,1252,0,70.6,18.7,9,1.7,0
INAPP_Focus-GOL_1-2025,2024-06-30,Molise,2532,1810,2364,65,115,36.8,26.3,34.3,0.9,1.7
INAPP_Focus-GOL_1-2025,2024-06-30,Piemonte,85184,40358,25095,11313,0,52.6,24.9,15.5,7,0
INAPP_Focus-GOL_1-2025,2024-06-30,Puglia,95623,69932,57203,5070,0,42,30.7,25.1,2.2,0
INAPP_Focus-GOL_1-2025,2024-06-30,Sardegna,70421,31660,20618,2449,94,56.2,25.3,16.5,2,0.1
INAPP_Focus-GOL_1-2025,2024-06-30,Sicilia,129510,78414,111462,11389,722,39.1,23.7,33.6,3.4,0.2
INAPP_Focus-GOL_1-2025,2024-06-30,Toscana,114197,37306,16887,7193,0,65,21.2,9.6,4.1,0
INAPP_Focus-GOL_1-2025,2024-06-30,P.A. Trento,10452,4486,956,1227,0,61,26.2,5.6,7.2,0
INAPP_Focus-GOL_1-2025,2024-06-30,Umbria,26013,7174,5292,833,135,65.9,18.2,13.4,2.1,0.3
INAPP_Focus-GOL_1-2025,2024-06-30,Veneto,100959,82716,14749,6465,334,49.2,40.3,7.2,3.2,0.2
INAPP_Focus-GOL_1-2025,2024-06-30,Totale,1344926,689762,543994,94518,2008,50.3,25.8,20.3,3.5,0.1
INAPP_Focus-GOL_12-2025,2025-09-30,Abruzzo,47743,12497,13311,973,0,64.1,16.8,17.9,1.3,0
INAPP_Focus-GOL_12-2025,2025-09-30,Basilicata,26518,8494,16772,608,4,50.6,16.2,32,1.2,0
INAPP_Focus-GOL_12-2025,2025-09-30,P.A. Bolzano,12405,3774,564,810,0,70.7,21.5,3.2,4.6,0
INAPP_Focus-GOL_12-2025,2025-09-30,Calabria,80472,45142,53166,4496,1175,43.6,24.5,28.8,2.4,0.6
INAPP_Focus-GOL_12-2025,2025-09-30,Campania,183903,124779,239889,30816,1418,31.7,21.5,41.3,5.3,0.2
INAPP_Focus-GOL_12-2025,2025-09-30,Emilia-Romagna,179983,63386,24246,19783,38,62.6,22.1,8.4,6.9,0
INAPP_Focus-GOL_12-2025,2025-09-30,Friuli-Venezia Giulia,82551,27234,10887,3000,589,66.4,21.9,8.8,2.4,0.5
INAPP_Focus-GOL_12-2025,2025-09-30,Lazio,163734,51068,56758,2216,1195,59.5,18.6,20.6,0.8,0.4
INAPP_Focus-GOL_12-2025,2025-09-30,Liguria,47679,8907,10852,3653,19,67,12.5,15.3,5.1,0
INAPP_Focus-GOL_12-2025,2025-09-30,Lombardia,308414,143591,87179,19537,137,55.2,25.7,15.6,3.5,0
INAPP_Focus-GOL_12-2025,2025-09-30,Marche,87383,19751,9617,2251,3,73.4,16.6,8.1,1.9,0
INAPP_Focus-GOL_12-2025,2025-09-30,Molise,5173,3989,5193,122,311,35,27,35.1,0.8,2.1
INAPP_Focus-GOL_12-2025,2025-09-30,Piemonte,143897,60919,43983,28759,1035,51.7,21.9,15.8,10.3,0.4
INAPP_Focus-GOL_12-2025,2025-09-30,Puglia,155878,116943,112266,7475,0,39.7,29.8,28.6,1.9,0
INAPP_Focus-GOL_12-2025,2025-09-30,Sardegna,105226,44090,33638,3339,876,56.2,23.6,18,1.8,0.5
INAPP_Focus-GOL_12-2025,2025-09-30,Sicilia,255529,128474,180991,14171,1342,44,22.1,31.2,2.4,0.2
INAPP_Focus-GOL_12-2025,2025-09-30,Toscana,214089,64845,27818,11573,262,67.2,20.4,8.7,3.6,0.1
INAPP_Focus-GOL_12-2025,2025-09-30,P.A. Trento,16722,7024,1557,2246,0,60.7,25.5,5.7,8.2,0
INAPP_Focus-GOL_12-2025,2025-09-30,Umbria,47948,9752,9249,1586,451,69.5,14.1,13.4,2.3,0.7
INAPP_Focus-GOL_12-2025,2025-09-30,Veneto,163337,150758,28229,9471,1060,46.3,42.7,8,2.7,0.3
INAPP_Focus-GOL_12-2025,2025-09-30,Totale,2332714,1097060,966505,168322,9918,51,24,21.1,3.7,0.2
INAPP_Focus-GOL_13-2025,2025-10-31,Abruzzo,48980,12917,13564,995,0,64.1,16.9,17.7,1.3,0
INAPP_Focus-GOL_13-2025,2025-10-31,P.A. Trento,17746,7252,1601,2338,0,61.3,25.1,5.5,8.1,0
INAPP_Focus-GOL_13-2025,2025-10-31,Veneto,167082,157128,28793,9642,1135,45.9,43.2,7.9,2.7,0.3
INAPP_Focus-GOL_13-2025,2025-10-31,Totale,2416691,1135520,1005401,174438,11237,50.9,23.9,21.2,3.7,0.2
INAPP_Focus-GOL_16-2025,2025-11-30,Abruzzo,50150,13286,13849,1031,0,64,17,17.7,1.3,0
INAPP_Focus-GOL_16-2025,2025-11-30,Basilicata,28875,8798,17097,795,4,52,15.8,30.8,1.4,0
INAPP_Focus-GOL_16-2025,2025-11-30,P.A. Bolzano,13103,3870,567,830,0,71.3,21.1,3.1,4.5,0
INAPP_Focus-GOL_16-2025,2025-11-30,Calabria,86096,48486,56314,4584,1263,43.8,24.6,28.6,2.3,0.6
INAPP_Focus-GOL_16-2025,2025-11-30,Campania,194142,129604,257493,35730,2325,31.3,20.9,41.6,5.8,0.4
INAPP_Focus-GOL_16-2025,2025-11-30,Emilia-Romagna,191469,66826,26170,21680,43,62.5,21.8,8.5,7.1,0
INAPP_Focus-GOL_16-2025,2025-11-30,Friuli-Venezia Giulia,86903,28168,11149,3114,589,66.9,21.7,8.6,2.4,0.5
INAPP_Focus-GOL_16-2025,2025-11-30,Lazio,178801,54275,61936,2274,1357,59.9,18.2,20.7,0.8,0.5
INAPP_Focus-GOL_16-2025,2025-11-30,Liguria,50352,9164,11677,3848,20,67.1,12.2,15.6,5.1,0
INAPP_Focus-GOL_16-2025,2025-11-30,Lombardia,337712,153520,92790,20546,158,55.8,25.4,15.3,3.4,0
INAPP_Focus-GOL_16-2025,2025-11-30,Marche,93630,20865,10082,2782,88,73.5,16.4,7.9,2.2,0.1
INAPP_Focus-GOL_16-2025,2025-11-30,Molise,5538,4553,5713,140,311,34.1,28,35.1,0.9,1.9
INAPP_Focus-GOL_16-2025,2025-11-30,Piemonte,154156,64177,47896,31782,1277,51.5,21.4,16,10.6,0.4
INAPP_Focus-GOL_16-2025,2025-11-30,Puglia,166056,125597,121520,7609,0,39.5,29.8,28.9,1.8,0
INAPP_Focus-GOL_16-2025,2025-11-30,Sardegna,113712,46771,37468,3393,1077,56.2,23.1,18.5,1.7,0.5
INAPP_Focus-GOL_16-2025,2025-11-30,Sicilia,279018,140819,192625,14443,1670,44.4,22.4,30.6,2.3,0.3
INAPP_Focus-GOL_16-2025,2025-11-30,Toscana,231417,69806,28295,12767,537,67.5,20.4,8.3,3.7,0.2
INAPP_Focus-GOL_16-2025,2025-11-30,P.A. Trento,18555,7487,1662,2445,0,61.5,24.8,5.5,8.1,0
INAPP_Focus-GOL_16-2025,2025-11-30,Umbria,51453,10692,9973,1778,482,69.2,14.4,13.4,2.4,0.6
INAPP_Focus-GOL_16-2025,2025-11-30,Veneto,170568,162499,29261,9801,1170,45.7,43.5,7.8,2.6,0.3
INAPP_Focus-GOL_16-2025,2025-11-30,Totale,2506279,1171045,1033914,182879,12374,51.1,23.9,21.1,3.7,0.3
INAPP_Focus-GOL_17-2025,2025-12-31,Abruzzo,51235,13610,14030,1056,0,64.1,17,17.6,1.3,0
INAPP_Focus-GOL_17-2025,2025-12-31,Basilicata,29855,8883,17176,815,4,52.6,15.7,30.3,1.4,0
INAPP_Focus-GOL_17-2025,2025-12-31,P.A. Bolzano,13393,3923,570,838,0,71.5,21,3,4.5,0
INAPP_Focus-GOL_17-2025,2025-12-31,Calabria,87926,49472,57938,4893,1270,43.6,24.6,28.8,2.4,0.6
INAPP_Focus-GOL_17-2025,2025-12-31,Campania,199419,131882,262300,41198,2352,31.3,20.7,41.2,6.5,0.4
INAPP_Focus-GOL_17-2025,2025-12-31,Emilia-Romagna,195592,67892,26796,22301,47,62.6,21.7,8.6,7.1,0
INAPP_Focus-GOL_17-2025,2025-12-31,Friuli-Venezia Giulia,88797,28510,11235,3178,590,67.1,21.5,8.5,2.4,0.4
INAPP_Focus-GOL_17-2025,2025-12-31,Lazio,186489,55765,63552,2309,1459,60.2,18,20.5,0.7,0.5
INAPP_Focus-GOL_17-2025,2025-12-31,Liguria,51527,9233,11924,3948,19,67.2,12,15.6,5.2,0
INAPP_Focus-GOL_17-2025,2025-12-31,Lombardia,348736,156730,94258,20877,172,56.2,25.2,15.2,3.4,0
INAPP_Focus-GOL_17-2025,2025-12-31,Marche,95969,21261,10200,2799,107,73.6,16.3,7.8,2.1,0.1
INAPP_Focus-GOL_17-2025,2025-12-31,Molise,5679,4813,5971,146,311,33.6,28.4,35.3,0.9,1.8
INAPP_Focus-GOL_17-2025,2025-12-31,Piemonte,159204,65257,49154,33081,1361,51.7,21.2,16,10.7,0.4
INAPP_Focus-GOL_17-2025,2025-12-31,Puglia,171525,129335,124310,7680,0,39.6,29.9,28.7,1.8,0
INAPP_Focus-GOL_17-2025,2025-12-31,Sardegna,117035,47800,38453,3391,1094,56.3,23,18.5,1.6,0.5
INAPP_Focus-GOL_17-2025,2025-12-31,Sicilia,289372,146352,196496,14623,1683,44.6,22.6,30.3,2.3,0.3
INAPP_Focus-GOL_17-2025,2025-12-31,Toscana,238263,71166,28487,13123,545,67.8,20.2,8.1,3.7,0.2
INAPP_Focus-GOL_17-2025,2025-12-31,P.A. Trento,18978,7628,1696,2530,0,61.6,24.7,5.5,8.2,0
INAPP_Focus-GOL_17-2025,2025-12-31,Umbria,52820,10885,10214,1844,482,69.3,14.3,13.4,2.4,0.6
INAPP_Focus-GOL_17-2025,2025-12-31,Veneto,173429,166804,29539,9985,1232,45.5,43.8,7.8,2.6,0.3
INAPP_Focus-GOL_17-2025,2025-12-31,Totale,2579984,1199016,1054666,192137,12731,51.2,23.8,20.9,3.8,0.3
INAPP_Focus-GOL_3-2025,2025-01-31,Abruzzo,39964,9688,11233,799,0,64.8,15.7,18.2,1.3,0
INAPP_Focus-GOL_3-2025,2025-01-31,Basilicata,18702,7771,14111,366,2,45.7,19,34.5,0.9,0
INAPP_Focus-GOL_3-2025,2025-01-31,P.A. Bolzano,9918,3261,540,687,0,68.8,22.6,3.7,4.8,0
INAPP_Focus-GOL_3-2025,2025-01-31,Calabria,63878,33721,43844,3816,1023,43.7,23.1,30,2.6,0.7
INAPP_Focus-GOL_3-2025,2025-01-31,Campania,151599,112511,192704,27177,759,31.3,23.2,39.8,5.6,0.2
INAPP_Focus-GOL_3-2025,2025-01-31,Emilia-Romagna,144326,49616,18590,14390,27,63.6,21.9,8.2,6.3,0
INAPP_Focus-GOL_3-2025,2025-01-31,Friuli-Venezia Giulia,67754,23848,7969,2475,116,66.3,23.3,7.8,2.4,0.1
INAPP_Focus-GOL_3-2025,2025-01-31,Lazio,131589,44109,44307,2048,10,59.3,19.9,20,0.9,0
INAPP_Focus-GOL_3-2025,2025-01-31,Liguria,36675,8153,8661,2859,0,65.1,14.5,15.4,5.1,0
INAPP_Focus-GOL_3-2025,2025-01-31,Lombardia,215834,114929,51989,16419,74,54.1,28.8,13,4.1,0
INAPP_Focus-GOL_3-2025,2025-01-31,Marche,70869,16974,8405,1643,0,72.4,17.3,8.6,1.7,0
INAPP_Focus-GOL_3-2025,2025-01-31,Molise,3113,2510,3633,107,176,32.6,26.3,38.1,1.1,1.8
INAPP_Focus-GOL_3-2025,2025-01-31,Piemonte,109261,49473,32449,19355,0,51.9,23.5,15.4,9.2,0
INAPP_Focus-GOL_3-2025,2025-01-31,Puglia,121524,93353,83051,6764,0,39.9,30.6,27.3,2.2,0
INAPP_Focus-GOL_3-2025,2025-01-31,Sardegna,89483,38658,26019,3114,285,56.8,24.5,16.5,2,0.2
INAPP_Focus-GOL_3-2025,2025-01-31,Sicilia,185517,102064,145918,13383,805,41.4,22.8,32.6,3,0.2
INAPP_Focus-GOL_3-2025,2025-01-31,Toscana,161588,50379,22817,8735,0,66.4,20.7,9.4,3.6,0
INAPP_Focus-GOL_3-2025,2025-01-31,P.A. Trento,12957,5826,1267,1664,0,59.7,26.8,5.8,7.7,0
INAPP_Focus-GOL_3-2025,2025-01-31,Umbria,38794,8298,6999,1142,153,70,15,12.6,2.1,0.3
INAPP_Focus-GOL_3-2025,2025-01-31,Veneto,132480,113502,18380,8422,652,48.5,41.5,6.7,3.1,0.2
INAPP_Focus-GOL_3-2025,2025-01-31,Totale,1808684,889948,743087,136504,4085,50.5,24.8,20.7,3.8,0.1
INAPP_Focus-GOL_4-2025,2025-02-28,Abruzzo,41284,10176,11602,825,0,64.6,15.9,18.2,1.3,0
INAPP_Focus-GOL_4-2025,2025-02-28,Basilicata,19482,7880,14758,368,3,45.8,18.5,34.7,0.9,0
INAPP_Focus-GOL_4-2025,2025-02-28,P.A. Bolzano,10290,3358,544,693,0,69.1,22.6,3.7,4.7,0
INAPP_Focus-GOL_4-2025,2025-02-28,Calabria,65682,34756,45144,3952,1039,43.6,23.1,30,2.6,0.7
INAPP_Focus-GOL_4-2025,2025-02-28,Campania,156526,114370,197768,27588,874,31.5,23,39.8,5.5,0.2
INAPP_Focus-GOL_4-2025,2025-02-28,Emilia-Romagna,149751,51995,19372,15147,30,63.4,22,8.2,6.4,0
INAPP_Focus-GOL_4-2025,2025-02-28,Friuli-Venezia Giulia,69839,24302,8177,2553,293,66.4,23.1,7.8,2.4,0.3
INAPP_Focus-GOL_4-2025,2025-02-28,Lazio,135355,45056,45887,2061,10,59.3,19.7,20.1,0.9,0
INAPP_Focus-GOL_4-2025,2025-02-28,Liguria,38631,8311,9060,2997,0,65.5,14.1,15.4,5.1,0
INAPP_Focus-GOL_4-2025,2025-02-28,Lombardia,225363,118284,53661,16787,82,54.4,28.6,13,4.1,0
INAPP_Focus-GOL_4-2025,2025-02-28,Marche,73251,17367,8659,1686,0,72.6,17.2,8.6,1.7,0
INAPP_Focus-GOL_4-2025,2025-02-28,Molise,3329,2741,3853,112,186,32.6,26.8,37.7,1.1,1.8
INAPP_Focus-GOL_4-2025,2025-02-28,Piemonte,114356,51104,33999,20610,4,52,23.2,15.4,9.4,0
INAPP_Focus-GOL_4-2025,2025-02-28,Puglia,125412,96827,86136,6866,0,39.8,30.7,27.3,2.2,0
INAPP_Focus-GOL_4-2025,2025-02-28,Sardegna,91705,39435,26487,3149,391,56.9,24.5,16.4,2,0.2
INAPP_Focus-GOL_4-2025,2025-02-28,Sicilia,193042,105385,149661,13479,806,41.8,22.8,32.4,2.9,0.2
INAPP_Focus-GOL_4-2025,2025-02-28,Toscana,171309,52550,23736,8966,0,66.8,20.5,9.3,3.5,0
INAPP_Focus-GOL_4-2025,2025-02-28,P.A. Trento,13483,6002,1307,1737,0,59.8,26.6,5.8,7.7,0
INAPP_Focus-GOL_4-2025,2025-02-28,Umbria,40340,8444,7261,1182,153,70.3,14.7,12.7,2.1,0.3
INAPP_Focus-GOL_4-2025,2025-02-28,Veneto,139140,119518,18942,8730,698,48.5,41.6,6.6,3,0.2
INAPP_Focus-GOL_4-2025,2025-02-28,Totale,1880566,919216,766221,140678,4572,50.7,24.8,20.6,3.8,0.1
INAPP_Focus-GOL_5-2025,2025-03-31,Abruzzo,42360,10658,11924,868,0,64.4,16.2,18.1,1.3,0
INAPP_Focus-GOL_5-2025,2025-03-31,Basilicata,20060,7951,15219,374,2,46,18.2,34.9,0.9,0
INAPP_Focus-GOL_5-2025,2025-03-31,P.A. Bolzano,10618,3460,546,695,0,69.3,22.6,3.6,4.5,0
INAPP_Focus-GOL_5-2025,2025-03-31,Calabria,67659,38295,46772,4068,1057,42.9,24.3,29.6,2.6,0.7
INAPP_Focus-GOL_5-2025,2025-03-31,Campania,160650,116008,203851,28063,873,31.5,22.8,40,5.5,0.2
INAPP_Focus-GOL_5-2025,2025-03-31,Emilia-Romagna,155079,54363,20116,15963,30,63.2,22.1,8.2,6.5,0
INAPP_Focus-GOL_5-2025,2025-03-31,Friuli-Venezia Giulia,71718,24786,8374,2626,411,66.5,23,7.8,2.4,0.4
INAPP_Focus-GOL_5-2025,2025-03-31,Lazio,139037,45973,47645,2076,10,59.2,19.6,20.3,0.9,0
INAPP_Focus-GOL_5-2025,2025-03-31,Liguria,40127,8407,9382,3121,0,65.7,13.8,15.4,5.1,0
INAPP_Focus-GOL_5-2025,2025-03-31,Lombardia,234771,121643,55519,17199,89,54.7,28.3,12.9,4,0
INAPP_Focus-GOL_5-2025,2025-03-31,Marche,75352,17705,8834,1736,0,72.7,17.1,8.5,1.7,0
INAPP_Focus-GOL_5-2025,2025-03-31,Molise,3566,2933,4107,113,310,32.3,26.6,37.2,1,2.8
INAPP_Focus-GOL_5-2025,2025-03-31,Piemonte,119139,52707,35641,21976,54,51.9,23,15.5,9.6,0
INAPP_Focus-GOL_5-2025,2025-03-31,Puglia,128046,99873,89478,6946,0,39.5,30.8,27.6,2.1,0
INAPP_Focus-GOL_5-2025,2025-03-31,Sardegna,93645,40181,27027,3156,727,56.8,24.4,16.4,1.9,0.4
INAPP_Focus-GOL_5-2025,2025-03-31,Sicilia,198364,108020,152978,13544,799,41.9,22.8,32.3,2.9,0.2
INAPP_Focus-GOL_5-2025,2025-03-31,Toscana,177094,54401,24306,9130,0,66.8,20.5,9.2,3.4,0
INAPP_Focus-GOL_5-2025,2025-03-31,P.A. Trento,14050,6163,1351,1813,0,60.1,26.4,5.8,7.8,0
INAPP_Focus-GOL_5-2025,2025-03-31,Umbria,41410,8570,7546,1245,235,70.2,14.5,12.8,2.1,0.4
INAPP_Focus-GOL_5-2025,2025-03-31,Veneto,143283,123760,19320,8913,725,48.4,41.8,6.5,3,0.2
INAPP_Focus-GOL_5-2025,2025-03-31,Totale,1939150,947277,790147,144886,5325,50.7,24.8,20.6,3.8,0.1
INAPP_Focus-GOL_6-2025,2025-04-30,Abruzzo,43311,11031,12213,890,0,64.2,16.4,18.1,1.3,0
INAPP_Focus-GOL_6-2025,2025-04-30,Basilicata,20682,8016,15642,377,5,46.2,17.9,35,0.8,0
INAPP_Focus-GOL_6-2025,2025-04-30,P.A. Bolzano,10963,3523,552,719,0,69.6,22.4,3.5,4.6,0
INAPP_Focus-GOL_6-2025,2025-04-30,Calabria,69229,40556,47998,4153,1063,42.5,24.9,29.4,2.5,0.7
INAPP_Focus-GOL_6-2025,2025-04-30,Campania,163832,117553,209256,28461,901,31.5,22.6,40.2,5.5,0.2
