report_id,data_riferimento,regione,raggiunti,con_politica,con_politica_pc,lep_e,lep_f1,lep_f2,c07_form_incl_dig,c11_form_no_dig,c12_form_spec_dig,lep_h,lep_j,lep_o,tirocinio_co,con_pol_o_tiroc,con_pol_o_tiroc_pc
INAPP_Focus-GOL_1-2025,2024-06-30,Abruzzo,43684,35035,80.2,29622,15007,3,1018,242,387,1626,0,0,2159,35480,81.2
INAPP_Focus-GOL_1-2025,2024-06-30,Basilicata,24555,3096,12.6,1990,192,0,903,443,262,1606,0,1,946,4135,16.8
INAPP_Focus-GOL_1-2025,2024-06-30,P.A. Bolzano,10623,431,4.1,295,47,6,10,83,2,94,0,10,212,637,6
INAPP_Focus-GOL_1-2025,2024-06-30,Calabria,100930,50754,50.3,49776,21318,1552,2232,1563,681,4363,0,2783,4302,54245,53.7
INAPP_Focus-GOL_1-2025,2024-06-30,Campania,338622,129072,38.1,116187,6888,249,52467,98,4963,57391,0,1,11292,138221,40.8
INAPP_Focus-GOL_1-2025,2024-06-30,Emilia-Romagna,171696,137749,80.2,134390,102111,4830,20008,3966,1806,24493,0,1211,8950,139531,81.3
INAPP_Focus-GOL_1-2025,2024-06-30,Lazio,176532,71639,40.6,71581,10680,6,2717,4602,1809,9059,0,249,10580,80085,45.4
INAPP_Focus-GOL_1-2025,2024-06-30,Liguria,41848,28385,67.8,25412,11065,527,15,4690,4804,8695,0,18,1784,28876,69
INAPP_Focus-GOL_1-2025,2024-06-30,Lombardia,284547,123285,43.3,119091,84468,3109,4376,19617,10000,28305,1,1007,16867,134580,47.3
INAPP_Focus-GOL_1-2025,2024-06-30,Marche,71712,20066,28,16675,7475,0,669,1463,1654,3680,0,57,5820,24423,34.1
INAPP_Focus-GOL_1-2025,2024-06-30,Molise,6651,906,13.6,537,1,0,319,63,39,419,0,0,404,1310,19.7
INAPP_Focus-GOL_1-2025,2024-06-30,Piemonte,155262,95812,61.7,89668,36986,9776,22035,2560,5053,28301,0,0,13552,98899,63.7
INAPP_Focus-GOL_1-2025,2024-06-30,Puglia,222330,52678,23.7,13145,44362,262,25,4,1850,1877,0,52,10683,62050,27.9
INAPP_Focus-GOL_1-2025,2024-06-30,Sardegna,118973,81552,68.5,80696,27124,499,0,3012,1757,4623,0,0,6363,83951,70.6
INAPP_Focus-GOL_1-2025,2024-06-30,Sicilia,319488,60702,19,57785,2671,4,1120,412,28,1555,0,50,11003,71758,22.5
INAPP_Focus-GOL_1-2025,2024-06-30,Toscana,162797,141621,87,130700,89035,3836,13598,6980,4890,23690,949,1759,6796,142299,87.4
INAPP_Focus-GOL_1-2025,2024-06-30,P.A. Trento,16987,15421,90.8,6030,13008,109,111,1128,1064,2348,218,1,263,15445,90.9
INAPP_Focus-GOL_1-2025,2024-06-30,Umbria,38145,21861,57.3,21776,9492,22,221,2923,1472,4069,0,1,2832,23657,62
INAPP_Focus-GOL_1-2025,2024-06-30,Veneto,192781,118076,61.2,36762,114546,782,4223,18905,11469,29568,1338,4,18468,126851,65.8
INAPP_Focus-GOL_1-2025,2024-06-30,Totale,2570887,1253033,48.7,1048574,650271,27029,130772,79039,58682,250360,2527,7233,136719,1331786,51.8
INAPP_Focus-GOL_12-2025,2025-09-30,Abruzzo,67825,57715,85.1,45948,32235,14,1500,892,2921,5231,0,77,4313,58528,86.3
INAPP_Focus-GOL_12-2025,2025-09-30,Basilicata,44985,16851,37.5,8913,4124,0,3367,1640,5663,10492,0,131,1923,18696,41.6
INAPP_Focus-GOL_12-2025,2025-09-30,P.A. Bolzano,15637,15454,98.8,1821,15435,29,15,869,396,1101,0,30,351,15463,98.9
INAPP_Focus-GOL_12-2025,2025-09-30,Calabria,166364,112147,67.4,108918,65312,2931,6853,6280,13744,26166,0,3444,6330,115967,69.7
INAPP_Focus-GOL_12-2025,2025-09-30,Campania,514158,369401,71.8,352646,136773,8005,135974,254,23408,157961,978,2663,26469,378021,73.5
INAPP_Focus-GOL_12-2025,2025-09-30,Emilia-Romagna,262693,222175,84.6,212271,174071,8914,29788,7485,55712,89225,71,1956,16600,224757,85.6
