report_id,data_riferimento,tavola,dimensione,etichetta,variabile,percorso,unita_misura,valore
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Abruzzo,presi_in_carico,NA,valore_assoluto,67825
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Abruzzo,occupati_totale,NA,valore_assoluto,30844
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Abruzzo,occupati_pc,NA,percentuale,45.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Abruzzo,nuovi_occupati,NA,valore_assoluto,28123
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Abruzzo,nuovi_occupati_pc,NA,percentuale,41.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Abruzzo,gia_occupati,NA,valore_assoluto,2721
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Abruzzo,gia_occupati_pc,NA,percentuale,4
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Abruzzo,quota_nuovi_su_occ,NA,percentuale,91.2
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Basilicata,presi_in_carico,NA,valore_assoluto,44981
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Basilicata,occupati_totale,NA,valore_assoluto,17454
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Basilicata,occupati_pc,NA,percentuale,38.8
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Basilicata,nuovi_occupati,NA,valore_assoluto,15981
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Basilicata,nuovi_occupati_pc,NA,percentuale,35.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Basilicata,gia_occupati,NA,valore_assoluto,1473
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Basilicata,gia_occupati_pc,NA,percentuale,3.3
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Basilicata,quota_nuovi_su_occ,NA,percentuale,91.6
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Bolzano,presi_in_carico,NA,valore_assoluto,15637
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Bolzano,occupati_totale,NA,valore_assoluto,8763
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Bolzano,occupati_pc,NA,percentuale,56
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Bolzano,nuovi_occupati,NA,valore_assoluto,8369
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Bolzano,nuovi_occupati_pc,NA,percentuale,53.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Bolzano,gia_occupati,NA,valore_assoluto,394
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Bolzano,gia_occupati_pc,NA,percentuale,2.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Bolzano,quota_nuovi_su_occ,NA,percentuale,95.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Calabria,presi_in_carico,NA,valore_assoluto,165220
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Calabria,occupati_totale,NA,valore_assoluto,54669
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Calabria,occupati_pc,NA,percentuale,33.1
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Calabria,nuovi_occupati,NA,valore_assoluto,50149
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Calabria,nuovi_occupati_pc,NA,percentuale,30.4
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Calabria,gia_occupati,NA,valore_assoluto,4520
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Calabria,gia_occupati_pc,NA,percentuale,2.7
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Calabria,quota_nuovi_su_occ,NA,percentuale,91.7
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Campania,presi_in_carico,NA,valore_assoluto,512867
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Campania,occupati_totale,NA,valore_assoluto,168306
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Campania,occupati_pc,NA,percentuale,32.8
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Campania,nuovi_occupati,NA,valore_assoluto,153606
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Campania,nuovi_occupati_pc,NA,percentuale,30
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Campania,gia_occupati,NA,valore_assoluto,14700
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Campania,gia_occupati_pc,NA,percentuale,2.9
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Campania,quota_nuovi_su_occ,NA,percentuale,91.3
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Emilia-Romagna,presi_in_carico,NA,valore_assoluto,262655
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Emilia-Romagna,occupati_totale,NA,valore_assoluto,119955
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Emilia-Romagna,occupati_pc,NA,percentuale,45.7
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Emilia-Romagna,nuovi_occupati,NA,valore_assoluto,108084
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Emilia-Romagna,nuovi_occupati_pc,NA,percentuale,41.2
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Emilia-Romagna,gia_occupati,NA,valore_assoluto,11871
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Emilia-Romagna,gia_occupati_pc,NA,percentuale,4.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Emilia-Romagna,quota_nuovi_su_occ,NA,percentuale,90.1
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Friuli-Venezia Giulia,presi_in_carico,NA,valore_assoluto,105675
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Friuli-Venezia Giulia,occupati_totale,NA,valore_assoluto,51800
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Friuli-Venezia Giulia,occupati_pc,NA,percentuale,49
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Friuli-Venezia Giulia,nuovi_occupati,NA,valore_assoluto,49063
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Friuli-Venezia Giulia,nuovi_occupati_pc,NA,percentuale,46.4
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Friuli-Venezia Giulia,gia_occupati,NA,valore_assoluto,2737
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Friuli-Venezia Giulia,gia_occupati_pc,NA,percentuale,2.6
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Friuli-Venezia Giulia,quota_nuovi_su_occ,NA,percentuale,94.7
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lazio,presi_in_carico,NA,valore_assoluto,258826
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lazio,occupati_totale,NA,valore_assoluto,111793
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lazio,occupati_pc,NA,percentuale,43.2
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lazio,nuovi_occupati,NA,valore_assoluto,98128
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lazio,nuovi_occupati_pc,NA,percentuale,37.9
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lazio,gia_occupati,NA,valore_assoluto,13665
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lazio,gia_occupati_pc,NA,percentuale,5.3
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lazio,quota_nuovi_su_occ,NA,percentuale,87.8
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Liguria,presi_in_carico,NA,valore_assoluto,65514
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Liguria,occupati_totale,NA,valore_assoluto,31551
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Liguria,occupati_pc,NA,percentuale,48.2
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Liguria,nuovi_occupati,NA,valore_assoluto,28492
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Liguria,nuovi_occupati_pc,NA,percentuale,43.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Liguria,gia_occupati,NA,valore_assoluto,3059
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Liguria,gia_occupati_pc,NA,percentuale,4.7
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Liguria,quota_nuovi_su_occ,NA,percentuale,90.3
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lombardia,presi_in_carico,NA,valore_assoluto,501175
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lombardia,occupati_totale,NA,valore_assoluto,214586
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lombardia,occupati_pc,NA,percentuale,42.8
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lombardia,nuovi_occupati,NA,valore_assoluto,190151
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lombardia,nuovi_occupati_pc,NA,percentuale,37.9
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lombardia,gia_occupati,NA,valore_assoluto,24435
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lombardia,gia_occupati_pc,NA,percentuale,4.9
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Lombardia,quota_nuovi_su_occ,NA,percentuale,88.6
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Marche,presi_in_carico,NA,valore_assoluto,103862
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Marche,occupati_totale,NA,valore_assoluto,46289
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Marche,occupati_pc,NA,percentuale,44.6
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Marche,nuovi_occupati,NA,valore_assoluto,42009
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Marche,nuovi_occupati_pc,NA,percentuale,40.4
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Marche,gia_occupati,NA,valore_assoluto,4280
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Marche,gia_occupati_pc,NA,percentuale,4.1
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Marche,quota_nuovi_su_occ,NA,percentuale,90.8
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Molise,presi_in_carico,NA,valore_assoluto,13149
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Molise,occupati_totale,NA,valore_assoluto,5050
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Molise,occupati_pc,NA,percentuale,38.4
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Molise,nuovi_occupati,NA,valore_assoluto,4589
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Molise,nuovi_occupati_pc,NA,percentuale,34.9
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Molise,gia_occupati,NA,valore_assoluto,461
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Molise,gia_occupati_pc,NA,percentuale,3.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Molise,quota_nuovi_su_occ,NA,percentuale,90.9
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Piemonte,presi_in_carico,NA,valore_assoluto,249572
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Piemonte,occupati_totale,NA,valore_assoluto,107659
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Piemonte,occupati_pc,NA,percentuale,43.1
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Piemonte,nuovi_occupati,NA,valore_assoluto,96960
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Piemonte,nuovi_occupati_pc,NA,percentuale,38.9
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Piemonte,gia_occupati,NA,valore_assoluto,10699
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Piemonte,gia_occupati_pc,NA,percentuale,4.3
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Piemonte,quota_nuovi_su_occ,NA,percentuale,90.1
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Puglia,presi_in_carico,NA,valore_assoluto,367197
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Puglia,occupati_totale,NA,valore_assoluto,146234
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Puglia,occupati_pc,NA,percentuale,39.8
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Puglia,nuovi_occupati,NA,valore_assoluto,135413
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Puglia,nuovi_occupati_pc,NA,percentuale,36.9
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Puglia,gia_occupati,NA,valore_assoluto,10821
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Puglia,gia_occupati_pc,NA,percentuale,2.9
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Puglia,quota_nuovi_su_occ,NA,percentuale,92.6
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sardegna,presi_in_carico,NA,valore_assoluto,164010
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sardegna,occupati_totale,NA,valore_assoluto,78977
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sardegna,occupati_pc,NA,percentuale,48.2
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sardegna,nuovi_occupati,NA,valore_assoluto,73966
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sardegna,nuovi_occupati_pc,NA,percentuale,45.1
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sardegna,gia_occupati,NA,valore_assoluto,5011
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sardegna,gia_occupati_pc,NA,percentuale,3.1
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sardegna,quota_nuovi_su_occ,NA,percentuale,93.7
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sicilia,presi_in_carico,NA,valore_assoluto,515232
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sicilia,occupati_totale,NA,valore_assoluto,185192
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sicilia,occupati_pc,NA,percentuale,35.9
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sicilia,nuovi_occupati,NA,valore_assoluto,172461
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sicilia,nuovi_occupati_pc,NA,percentuale,33.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sicilia,gia_occupati,NA,valore_assoluto,12731
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sicilia,gia_occupati_pc,NA,percentuale,2.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Sicilia,quota_nuovi_su_occ,NA,percentuale,93.1
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Toscana,presi_in_carico,NA,valore_assoluto,268388
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Toscana,occupati_totale,NA,valore_assoluto,136704
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Toscana,occupati_pc,NA,percentuale,50.9
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Toscana,nuovi_occupati,NA,valore_assoluto,125068
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Toscana,nuovi_occupati_pc,NA,percentuale,46.6
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Toscana,gia_occupati,NA,valore_assoluto,11636
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Toscana,gia_occupati_pc,NA,percentuale,4.3
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Toscana,quota_nuovi_su_occ,NA,percentuale,91.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Trento,presi_in_carico,NA,valore_assoluto,26080
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Trento,occupati_totale,NA,valore_assoluto,13031
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Trento,occupati_pc,NA,percentuale,50
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Trento,nuovi_occupati,NA,valore_assoluto,12347
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Trento,nuovi_occupati_pc,NA,percentuale,47.3
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Trento,gia_occupati,NA,valore_assoluto,684
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Trento,gia_occupati_pc,NA,percentuale,2.6
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,P.A. Trento,quota_nuovi_su_occ,NA,percentuale,94.8
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Umbria,presi_in_carico,NA,valore_assoluto,59956
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Umbria,occupati_totale,NA,valore_assoluto,29322
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Umbria,occupati_pc,NA,percentuale,48.9
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Umbria,nuovi_occupati,NA,valore_assoluto,26751
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Umbria,nuovi_occupati_pc,NA,percentuale,44.6
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Umbria,gia_occupati,NA,valore_assoluto,2571
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Umbria,gia_occupati_pc,NA,percentuale,4.3
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Umbria,quota_nuovi_su_occ,NA,percentuale,91.2
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Veneto,presi_in_carico,NA,valore_assoluto,304397
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Veneto,occupati_totale,NA,valore_assoluto,143105
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Veneto,occupati_pc,NA,percentuale,47
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Veneto,nuovi_occupati,NA,valore_assoluto,134004
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Veneto,nuovi_occupati_pc,NA,percentuale,44
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Veneto,gia_occupati,NA,valore_assoluto,9101
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Veneto,gia_occupati_pc,NA,percentuale,3
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Veneto,quota_nuovi_su_occ,NA,percentuale,93.6
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Totale,presi_in_carico,NA,valore_assoluto,4078836
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Totale,occupati_totale,NA,valore_assoluto,1704398
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Totale,occupati_pc,NA,percentuale,41.8
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Totale,nuovi_occupati,NA,valore_assoluto,1556556
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,regione,Totale,nuovi_occupati_pc,NA,percentuale,38.2
