report_id,data_riferimento,presi_in_carico,occupati_totale,occupati_pc,nuovi_occupati,nuovi_occupati_pc,gia_occupati,gia_occupati_pc,quota_nuovi_su_occ,dimensione,etichetta,percorso
INAPP_Focus-GOL_12-2025,2025-09-30,67825,30844,45.5,28123,41.5,2721,4,91.2,regione,Abruzzo,NA
INAPP_Focus-GOL_12-2025,2025-09-30,44981,17454,38.8,15981,35.5,1473,3.3,91.6,regione,Basilicata,NA
INAPP_Focus-GOL_12-2025,2025-09-30,15637,8763,56,8369,53.5,394,2.5,95.5,regione,P.A. Bolzano,NA
INAPP_Focus-GOL_12-2025,2025-09-30,165220,54669,33.1,50149,30.4,4520,2.7,91.7,regione,Calabria,NA
INAPP_Focus-GOL_12-2025,2025-09-30,512867,168306,32.8,153606,30,14700,2.9,91.3,regione,Campania,NA
INAPP_Focus-GOL_12-2025,2025-09-30,262655,119955,45.7,108084,41.2,11871,4.5,90.1,regione,Emilia-Romagna,NA
INAPP_Focus-GOL_12-2025,2025-09-30,105675,51800,49,49063,46.4,2737,2.6,94.7,regione,Friuli-Venezia Giulia,NA
INAPP_Focus-GOL_12-2025,2025-09-30,258826,111793,43.2,98128,37.9,13665,5.3,87.8,regione,Lazio,NA
INAPP_Focus-GOL_12-2025,2025-09-30,65514,31551,48.2,28492,43.5,3059,4.7,90.3,regione,Liguria,NA
INAPP_Focus-GOL_12-2025,2025-09-30,501175,214586,42.8,190151,37.9,24435,4.9,88.6,regione,Lombardia,NA
INAPP_Focus-GOL_12-2025,2025-09-30,103862,46289,44.6,42009,40.4,4280,4.1,90.8,regione,Marche,NA
INAPP_Focus-GOL_12-2025,2025-09-30,13149,5050,38.4,4589,34.9,461,3.5,90.9,regione,Molise,NA
INAPP_Focus-GOL_12-2025,2025-09-30,249572,107659,43.1,96960,38.9,10699,4.3,90.1,regione,Piemonte,NA
INAPP_Focus-GOL_12-2025,2025-09-30,367197,146234,39.8,135413,36.9,10821,2.9,92.6,regione,Puglia,NA
INAPP_Focus-GOL_12-2025,2025-09-30,164010,78977,48.2,73966,45.1,5011,3.1,93.7,regione,Sardegna,NA
INAPP_Focus-GOL_12-2025,2025-09-30,515232,185192,35.9,172461,33.5,12731,2.5,93.1,regione,Sicilia,NA
INAPP_Focus-GOL_12-2025,2025-09-30,268388,136704,50.9,125068,46.6,11636,4.3,91.5,regione,Toscana,NA
INAPP_Focus-GOL_12-2025,2025-09-30,26080,13031,50,12347,47.3,684,2.6,94.8,regione,P.A. Trento,NA
INAPP_Focus-GOL_12-2025,2025-09-30,59956,29322,48.9,26751,44.6,2571,4.3,91.2,regione,Umbria,NA
INAPP_Focus-GOL_12-2025,2025-09-30,304397,143105,47,134004,44,9101,3,93.6,regione,Veneto,NA
INAPP_Focus-GOL_12-2025,2025-09-30,4078836,1704398,41.8,1556556,38.2,147842,3.6,91.3,regione,Totale,NA
INAPP_Focus-GOL_12-2025,2025-09-30,2061749,1070145,51.9,986180,47.8,83965,4.1,92.2,percorso,1_reinserimento_lavorativo,1_reinserimento_lavorativo
INAPP_Focus-GOL_12-2025,2025-09-30,975937,414570,42.5,376206,38.5,38364,3.9,90.7,percorso,2_aggiornamento_upskilling,2_aggiornamento_upskilling
INAPP_Focus-GOL_12-2025,2025-09-30,891731,184460,20.7,165332,18.5,19128,2.1,89.6,percorso,3_riqualificazione_reskilling,3_riqualificazione_reskilling
INAPP_Focus-GOL_12-2025,2025-09-30,149419,35223,23.6,28838,19.3,6385,4.3,81.9,percorso,4_lavoro_inclusione,4_lavoro_inclusione
INAPP_Focus-GOL_13-2025,2025-10-31,69284,31248,45.1,28398,41,2850,4.1,90.9,regione,Abruzzo,NA
INAPP_Focus-GOL_13-2025,2025-10-31,46133,17755,38.5,16177,35.1,1578,3.4,91.1,regione,Basilicata,NA
INAPP_Focus-GOL_13-2025,2025-10-31,15980,8642,54.1,8198,51.3,444,2.8,94.9,regione,P.A. Bolzano,NA
INAPP_Focus-GOL_13-2025,2025-10-31,171130,57528,33.6,52480,30.7,5048,2.9,91.2,regione,Calabria,NA
INAPP_Focus-GOL_13-2025,2025-10-31,529316,172013,32.5,154689,29.2,17324,3.3,89.9,regione,Campania,NA
INAPP_Focus-GOL_13-2025,2025-10-31,269603,120781,44.8,108229,40.1,12552,4.7,89.6,regione,Emilia-Romagna,NA
INAPP_Focus-GOL_13-2025,2025-10-31,108261,52413,48.4,49286,45.5,3127,2.9,94,regione,Friuli-Venezia Giulia,NA
